comparison,mode,source_file_geo,source_path,run_type,focal_geo_product,version_status_for_product,prompt_set_start,prompt_set_end,prompt_set_label_geo,question_id,product,cited_geo,ref_count_geo,first_citation_index,first_citation_score_geo,citation_position_proxy_geo,citation_position_score_geo,citation_share_of_voice_geo,recommendation_rank_proxy_geo,rank_score_proxy_geo,top1_cited_flag_geo,brand_mentioned_geo,brand_mention_count_geo,first_mention_index,first_mention_score_geo,mention_share_of_voice_geo,mention_position_proxy_geo,mention_position_score_geo,average_mention_position_proxy_geo,top1_mentioned_flag,feature_categories,feature_count_geo,feature_coverage_geo,tfidf_product_answer_similarity_geo,bigram_overlap_product_answer_geo,pais_product_answer_influence_score_geo,brand_context_sentiment_score_geo,brand_context_positive_hits_geo,brand_context_negative_hits_geo,answer_word_count,citation_sequence,cited_answer_sentences,mentioned_answer_sentences,cited_baseline,ref_count_baseline,first_citation_score_baseline,recommendation_rank_proxy_baseline,rank_score_proxy_baseline,top1_cited_flag_baseline,feature_count_baseline,feature_coverage_baseline,tfidf_product_answer_similarity_baseline,bigram_overlap_product_answer_baseline,pais_product_answer_influence_score_baseline,brand_mentioned_baseline,brand_mention_count_baseline,mention_share_of_voice_baseline,citation_share_of_voice_baseline,first_mention_score_baseline,mention_position_proxy_baseline,mention_position_score_baseline,average_mention_position_proxy_baseline,citation_position_proxy_baseline,citation_position_score_baseline,brand_context_sentiment_score_baseline,brand_context_positive_hits_baseline,brand_context_negative_hits_baseline,source_file_baseline,prompt_set_label_baseline,baseline_match_found,delta_cited,delta_ref_count,delta_first_citation_score,delta_recommendation_rank_proxy,delta_rank_score_proxy,delta_top1_cited_flag,delta_feature_count,delta_feature_coverage,delta_tfidf_product_answer_similarity,delta_bigram_overlap_product_answer,delta_pais_product_answer_influence_score,delta_brand_mentioned,delta_brand_mention_count,delta_mention_share_of_voice,delta_citation_share_of_voice,delta_first_mention_score,delta_mention_position_proxy,delta_mention_position_score,delta_average_mention_position_proxy,delta_citation_position_proxy,delta_citation_position_score,delta_brand_context_sentiment_score,delta_brand_context_positive_hits,delta_brand_context_negative_hits,delta_citation_rate,delta_mean_ref_count,rank_improvement_geo_minus_baseline,delta_top1_cited_share,delta_pais
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\away_1.txt,one_product_geo_rewrite,Away,geo_rewrite_2023_2024,1,5,1-5,1,Away,1,2,1.0,1.0,1,1.0,0.6666666666666666,1,1.0,1,1,2,1.0,1.0,0.3333333333333333,1,1.0,1,1,capacity_volume;dimensions;electronics_convenience;lock_security;packing_organization;weight,6,0.3157894736842105,0.09404021354491475,0.1095890410958904,0.4650709602768753,0.7777777777777778,8,1,154,Away > Away > July,"[Away] It also gives a practical mix of a 39.8 L capacity, 7.5 lb weight, interior compression, mesh pockets, a hanging pocket, and a laundry bag, so it is well matched to a short trip without feeling overbuilt. [Away] July is a strong alternative if you want slightly more stated capacity and built-in charging, since it offers 42 L of volume, an ejectable battery, a TSA lock, compression, and a hidden laundry bag.","I would recommend Away as the best default choice for a 3-5 day trip because its page specifically says The Carry-On is made for quick trips of 3-5 days, fits 5-7 outfits, and is sized to fit in the overhead bin of almost any flight. The provided pages do not directly state that Briggs & Riley, Hartmann, or RIMOWA are designed for 3-5 day trips, so Away gives the clearest trip-length confidence.",1.0,2.0,1.0,1.0,1.0,1.0,6.0,0.3157894736842105,0.11753653722698511,0.2753623188405797,0.49463621667499275,1.0,1.0,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,6.0,1.0,baseline_1.txt,1-5,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023496323682070358,-0.1657732777446893,-0.029565256398117468,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06349206349206349,2.0,0.0,0.0,0.0,0.0,0.0,-0.029565256398117468
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\away_1.txt,one_product_geo_rewrite,Away,geo_rewrite_2023_2024,1,5,1-5,2,Away,1,1,4.0,0.25,4,0.4,0.25,3,0.6,0,1,1,4.0,0.25,0.16666666666666666,3,0.6,3,0,,0,0.0,0.06928983428940137,0.0,0.1471913001912136,1.0,2,0,188,BR > BR > July > Away,[Away],"Away also uses a rigorously tested 100% polycarbonate hard shell and has a TSA-approved lock and secure zippers, but Briggs & Riley and July provide the strongest durability/protection claims in the supplied pages.",0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,baseline_1.txt,1-5,True,1.0,1.0,0.25,-3.0,0.6,0.0,0.0,0.0,0.06928983428940137,0.0,0.1471913001912136,1.0,1.0,0.16666666666666666,0.25,0.25,-3.0,0.6,-3.0,-2.0,0.4,1.0,2.0,0.0,1.0,1.0,3.0,0.0,0.1471913001912136
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\away_1.txt,one_product_geo_rewrite,Away,geo_rewrite_2023_2024,1,5,1-5,3,Away,1,2,1.0,1.0,1,1.0,0.4,1,1.0,1,1,1,1.0,1.0,0.14285714285714285,1,1.0,1,1,dimensions;handle;weight;wheels_mobility,4,0.21052631578947367,0.06862098031586526,0.0625,0.4318711258877345,1.0,7,0,179,Away > Away > Rimowa > July > BR,"[Away] It is also a manageable 7.5 lb and narrower than several other options at 14.4 inches wide, based on the listed exterior measurements. [Away] RIMOWA is the best lightweight-steering alternative because it weighs only 4.9 lb and has a Multiwheel system with ball-bearing mounted wheels, cushioned axles, and a three-stage telescopic handle for stable, effortless steering and smooth manoeuvrability.","For easiest movement through airports, streets, and crowded spaces, I would choose Away as the most balanced option because its page directly mentions an easy-grip handle for moving through busy travel spaces, an underside grab handle for lifting and stowing, and premium 360° smooth-gliding wheels for navigating busy airports or cobblestone streets.",1.0,1.0,0.25,3.0,0.6,0.0,0.0,0.0,0.023074255325121296,0.0,0.1379481843983576,1.0,2.0,0.25,0.25,0.2,3.0,0.6,3.0,4.0,0.4,1.0,3.0,0.0,baseline_1.txt,1-5,True,0.0,1.0,0.75,-2.0,0.4,1.0,4.0,0.21052631578947367,0.04554672499074397,0.0625,0.2939229414893769,0.0,-1.0,-0.10714285714285715,0.15000000000000002,0.8,-2.0,0.4,-2.0,-3.0,0.6,0.0,4.0,0.0,0.0,1.0,2.0,1.0,0.2939229414893769
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\away_1.txt,one_product_geo_rewrite,Away,geo_rewrite_2023_2024,1,5,1-5,4,Away,1,1,2.0,0.5,2,0.8,0.2,2,0.8,0,1,2,4.0,0.25,0.2,2,0.8,2,0,material_shell;packing_organization,2,0.10526315789473684,0.0208396810423054,0.07692307692307693,0.22009236265920334,1.0,3,0,185,BR > Away > Century > July > Rimowa,"[Away] Hartmann also looks useful for neat packing because it includes a removable garment sleeve, a spacious packing compartment, ample zippered pockets, and nylon tie-down straps.","Away is the best simpler organization pick because it has one compartment for clothes and one for bulkier items like shoes and toiletries, plus a compression pad, three mesh pockets, one hanging pocket, and a water-resistant laundry bag. RIMOWA has a zipped mesh divider and a small zipped interior pocket, but the page describes fewer organization features than Briggs & Riley or Away.",1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.21052631578947367,0.03847598956148752,0.0,0.3331337944035256,1.0,1.0,0.2,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,baseline_1.txt,1-5,True,0.0,0.0,-0.5,1.0,-0.19999999999999996,-1.0,-2.0,-0.10526315789473684,-0.017636308519182117,0.07692307692307693,-0.11304143174432224,0.0,1.0,0.0,-0.1333333333333333,-0.75,1.0,-0.19999999999999996,1.0,1.0,-0.19999999999999996,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,-0.11304143174432224
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\away_1.txt,one_product_geo_rewrite,Away,geo_rewrite_2023_2024,1,5,1-5,5,Away,1,1,1.0,1.0,1,1.0,0.2,1,1.0,1,1,1,1.0,1.0,0.2,1,1.0,1,1,dimensions;electronics_convenience;lock_security;overhead_bin_or_airline_fit;warranty_trial_return,5,0.2631578947368421,0.08333560395047049,0.07692307692307693,0.3641704946092574,0.7142857142857143,6,1,264,Away > July > BR > Century > Rimowa,"[Away] July is also very confidence-inspiring because it lists a 45-inch total linear dimension approved to fit as carry-on for Australian and international standards, an ejectable battery approved for flying across major airlines, an integrated TSA lock, 100-day returns for unpersonalised items, and a lifetime warranty on manufacturing faults.","For overall purchase confidence, Away gives the strongest all-around balance because the page says it fits overhead on most major airlines and in the overhead bin of almost any flight, includes a TSA-approved combination lock, offers free returns and exchanges on unused items for the first 100 days, and has a limited warranty covering functional elements such as the shell, wheels, handles, and zippers.",1.0,1.0,0.5,2.0,0.8,0.0,7.0,0.3684210526315789,0.06442735229155645,0.07142857142857142,0.28061730003224616,1.0,2.0,0.25,0.2,0.5,2.0,0.8,2.0,2.0,0.8,0.42857142857142855,5.0,2.0,baseline_1.txt,1-5,True,0.0,0.0,0.5,-1.0,0.19999999999999996,1.0,-2.0,-0.10526315789473684,0.018908251658914035,0.005494505494505503,0.08355319457701121,0.0,-1.0,-0.04999999999999999,0.0,0.5,-1.0,0.19999999999999996,-1.0,-1.0,0.19999999999999996,0.28571428571428575,1.0,-1.0,0.0,0.0,1.0,1.0,0.08355319457701121
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,away_11.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\away_11.txt,one_product_geo_rewrite,Away,geo_rewrite_2023_2024,11,15,11-15,11,Away,1,1,1.0,1.0,1,1.0,0.2,1,1.0,1,1,2,1.0,1.0,0.25,1,1.0,1,1,dimensions;overhead_bin_or_airline_fit;wheels_mobility,3,0.15789473684210525,0.06582400738226545,0.12727272727272726,0.34716799126911657,1.0,6,0,245,Away > July > BR > Century > Rimowa,"[Away] July also gives strong fit language, saying the Carry On is designed to hold the maximum amount allowed inside the cabin, has 45 total linear inches, and is approved to fit as carry-on for all Australian and International standards; its external dimensions are 21.5"" H x 15"" W x 8.5"" D including wheels.","The safest options based on airline-fit language are Away and July. Away says The Carry-On is its smallest suitcase, is sized to fit in all overhead bins, meets carry-on requirements for most major airlines, and will fit in the overhead bin of almost any flight; its exterior measurements are 21.7"" x 14.4"" x 9"" including wheels.",1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.15789473684210525,0.05122057866066147,0.043478260869565216,0.33167813556432146,1.0,2.0,0.2857142857142857,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,0.0,baseline_11.txt,11-15,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014603428721603973,0.08379446640316204,0.015489855704795108,0.0,0.0,-0.0357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.015489855704795108
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,away_11.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\away_11.txt,one_product_geo_rewrite,Away,geo_rewrite_2023_2024,11,15,11-15,12,Away,1,1,4.0,0.25,4,0.4,0.16666666666666666,3,0.6,0,1,1,4.0,0.25,0.16666666666666666,3,0.6,3,0,cleaning_care;dimensions;durability_protection;material_shell;sustainability;tradeoff_or_limitation,6,0.3157894736842105,0.0367468652040135,0.08333333333333333,0.21634060111097814,0.3333333333333333,4,2,221,July > July > BR > Away > Century > Rimowa,"[Away] Hartmann says the exterior is durable 100% polycarbonate with a metallic film and signature print, but it does not specifically mention stain resistance, scuff resistance, scratch resistance, water resistance, wipe-clean materials, or a protective finish.","Away says its lightweight 100% polycarbonate hard shell is durable, rigorously tested, and designed to withstand harsh conditions, and it also includes a water-resistant polyester laundry bag, but the page does not say the shell is stain-resistant, scuff-resistant, scratch-resistant, water-resistant, or wipe-clean.",1.0,1.0,0.25,3.0,0.6,0.0,6.0,0.3157894736842105,0.028899999813875834,0.02564102564102564,0.20611738187910444,1.0,1.0,0.16666666666666666,0.16666666666666666,0.25,3.0,0.6,3.0,4.0,0.4,0.3333333333333333,4.0,2.0,baseline_11.txt,11-15,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007846865390137663,0.05769230769230769,0.010223219231873693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010223219231873693
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,away_11.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\away_11.txt,one_product_geo_rewrite,Away,geo_rewrite_2023_2024,11,15,11-15,13,Away,1,3,1.0,1.0,1,1.0,0.42857142857142855,1,1.0,1,1,2,1.0,1.0,0.3333333333333333,1,1.0,1,1,durability_protection;material_shell;packing_organization;sustainability;tradeoff_or_limitation;warranty_trial_return;wheels_mobility,7,0.3684210526315789,0.11130624331948201,0.175,0.5721954591902122,-0.3333333333333333,2,4,212,Away > Away > Away > BR > July > Rimowa > Century,"[Away] That evidence is specific and credible for packaging and the included laundry bag, but it is limited because the page does not say the main polycarbonate shell is recycled or otherwise sustainably sourced. [Away] Away also supports durability with a rigorously tested 100% polycarbonate shell and a limited warranty covering damage to functional elements such as the shell, wheels, handles, and zippers. [Away]

The other product pages provide durability information but no concrete sustainability-related material claims in the provided text.","Away provides the clearest concrete sustainability-related information: its exterior packaging is 100% recyclable, and its drawstring laundry bag is made of 100% recycled polyester. Away also supports durability with a rigorously tested 100% polycarbonate shell and a limited warranty covering damage to functional elements such as the shell, wheels, handles, and zippers.",1.0,3.0,1.0,1.0,1.0,1.0,7.0,0.3684210526315789,0.1152575678316142,0.2236842105263158,0.580288355671586,1.0,3.0,0.42857142857142855,0.42857142857142855,1.0,1.0,1.0,1.0,1.0,1.0,0.5,9.0,3.0,baseline_11.txt,11-15,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00395132451213219,-0.0486842105263158,-0.00809289648137379,0.0,-1.0,-0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8333333333333333,-7.0,1.0,0.0,0.0,0.0,0.0,-0.00809289648137379
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,away_11.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\away_11.txt,one_product_geo_rewrite,Away,geo_rewrite_2023_2024,11,15,11-15,14,Away,1,2,4.0,0.25,4,0.4,0.2,4,0.4,0,1,2,3.0,0.3333333333333333,0.25,2,0.8,2,0,dimensions;handle;lock_security;overhead_bin_or_airline_fit;packing_organization;wheels_mobility,6,0.3157894736842105,0.05703510057563892,0.05714285714285714,0.2998030100900651,1.0,2,0,226,BR > July > Century > Away > Rimowa > Away > BR > Century > July > Rimowa,"[Away] RIMOWA has simpler convenience features, including TSA-approved locks, a zipped mesh divider, a Multiwheel system, a three-stage T-bar telescopic handle, and a small zipped interior pocket. [Away] [Briggs & Riley] [Hartmann] [July] [RIMOWA]","For overall travel-day convenience, Briggs & Riley seems the most useful because it combines multiple practical extras: CX expansion and compression, a built-in garment folder, cinch-down garment panels, a SmartLink strap for transporting bags together, a hide-away ID tag, a security-checkpoint exterior pocket with orange lining, a PowerPocket for storing a battery pack and phone for charging on the go, a large front pocket, multiple grab handles, and a TSA-approved cable lock. Away has useful non-charging conveniences, including a compression system, three mesh pockets plus one hanging pocket, an underside grab handle, a TSA-approved lock, a laundry bag, and a color-matched leather luggage tag.",1.0,1.0,0.25,4.0,0.4,0.0,6.0,0.3157894736842105,0.04885941315116838,0.07894736842105263,0.21810521596356702,1.0,2.0,0.18181818181818182,0.14285714285714285,0.5,2.0,0.8,2.0,4.0,0.4,0.5,3.0,1.0,baseline_11.txt,11-15,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008175687424470536,-0.021804511278195486,0.08169779412649808,0.0,0.0,0.06818181818181818,0.05714285714285716,-0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.5,-1.0,-1.0,0.0,1.0,0.0,0.0,0.08169779412649808
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,away_11.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\away_11.txt,one_product_geo_rewrite,Away,geo_rewrite_2023_2024,11,15,11-15,15,Away,1,2,3.0,0.3333333333333333,3,0.6,0.125,3,0.6,0,1,2,3.0,0.3333333333333333,0.14285714285714285,3,0.6,3,0,capacity_volume;cleaning_care;comparison_ready_evidence;dimensions;durability_protection;overhead_bin_or_airline_fit;sustainability;tradeoff_or_limitation;warranty_trial_return;weight,10,0.5263157894736842,0.03095058951270915,0.02040816326530612,0.3478478336204079,0.45454545454545453,8,3,332,BR > July > Away > Rimowa > Century > BR > Century > Rimowa > July > Century > BR > Away > BR > Century > July > Rimowa,"[Away]

RIMOWA provides precise measurements, weight, volume, materials, shipping and return terms, and a lifetime guarantee, so the basic spec quality is good; however, the page leaves important shopping questions unanswered about airline fit, cleaning, stain/scuff/scratch resistance, sustainability, and detailed durability testing. [Away] [Briggs & Riley] [Hartmann] [July] [RIMOWA]","The strongest information quality comes from Briggs & Riley, July, and Away. Away gives clear size, weight, capacity, material, airline-fit language, organization features, returns, and warranty coverage, though shoppers should double-check the full warranty terms and should not assume shell stain, scuff, scratch, water, or wipe-clean resistance because those claims are not stated.",1.0,3.0,1.0,1.0,1.0,1.0,10.0,0.5263157894736842,0.05208093408894676,0.08955223880597014,0.5791121805334217,1.0,3.0,0.2727272727272727,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,10.0,2.0,baseline_11.txt,11-15,True,0.0,-1.0,-0.6666666666666667,2.0,-0.4,-1.0,0.0,0.0,-0.021130344576237612,-0.06914407554066403,-0.23126434691301384,0.0,-1.0,-0.12987012987012986,-0.125,-0.6666666666666667,2.0,-0.4,2.0,2.0,-0.4,-0.2121212121212121,-2.0,1.0,0.0,-1.0,-2.0,-1.0,-0.23126434691301384
