comparison,mode,source_file,source_path,run_type,focal_geo_product,version_status_for_product,prompt_set_start,prompt_set_end,prompt_set_label,question_id,product,cited,ref_count,first_citation_index,first_citation_score,recommendation_rank_proxy,rank_score_proxy,top1_cited_flag,feature_categories,feature_count,feature_coverage,tfidf_product_answer_similarity,bigram_overlap_product_answer,pais_product_answer_influence_score,answer_word_count,citation_sequence,cited_answer_sentences
03_2026_current_vs_2023_2024_geo_rewrite,baseline,baseline_curr/baseline_1_curr.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\baseline_curr\baseline_1_curr.txt,baseline_all_current_2026,,current_2026,1,5,1-5,1,Monos,1,2,1.0,1.0,1,1.0,1,capacity_volume;overhead_bin_or_airline_fit;tradeoff_or_limitation;trip_length;warranty_trial_return,5,0.2631578947368421,0.10913694353677017,0.3150684931506849,0.48838590829399187,174,Monos > Monos > Delsey > BEIS,"[Monos]
It also has the strongest travel-fit reassurance among the product pages: Monos says this Carry-On will fit in the baggage sizer and overhead bins of all major airlines in North America, Europe, Asia, and Oceania. [Monos]
Delsey is also a strong 3-5 day option because its page specifically lists a 3-5 day trip length and 44 L capacity, but the provided Delsey text does not say it fits overhead bins across major airlines."
03_2026_current_vs_2023_2024_geo_rewrite,baseline,baseline_curr/baseline_1_curr.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\baseline_curr\baseline_1_curr.txt,baseline_all_current_2026,,current_2026,1,5,1-5,1,BEIS,1,1,4.0,0.25,3,0.6,0,,0,0.0,0.0,0.0,0.13333333333333333,174,Monos > Monos > Delsey > BEIS,[BEIS]
03_2026_current_vs_2023_2024_geo_rewrite,baseline,baseline_curr/baseline_1_curr.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\baseline_curr\baseline_1_curr.txt,baseline_all_current_2026,,current_2026,1,5,1-5,1,Travelpro,0,0,,0.0,6,0.0,0,,0,0.0,0.0,0.0,0.0,174,Monos > Monos > Delsey > BEIS,
03_2026_current_vs_2023_2024_geo_rewrite,baseline,baseline_curr/baseline_1_curr.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\baseline_curr\baseline_1_curr.txt,baseline_all_current_2026,,current_2026,1,5,1-5,1,Delsey,1,1,3.0,0.3333333333333333,2,0.8,0,capacity_volume;expansion;overhead_bin_or_airline_fit;tradeoff_or_limitation;weight,5,0.2631578947368421,0.021678869033923506,0.04878048780487805,0.21428442592488484,174,Monos > Monos > Delsey > BEIS,"[Delsey]
BÉIS offers the most listed capacity at 49-61 L and 2"" expandable space, but its page recommends checking airline guidelines and weight-limit restrictions, so I would choose it mainly for overpackers who are willing to verify airline rules before flying."
03_2026_current_vs_2023_2024_geo_rewrite,baseline,baseline_curr/baseline_1_curr.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\baseline_curr\baseline_1_curr.txt,baseline_all_current_2026,,current_2026,1,5,1-5,1,INUSA,0,0,,0.0,6,0.0,0,,0,0.0,0.0,0.0,0.0,174,Monos > Monos > Delsey > BEIS,
03_2026_current_vs_2023_2024_geo_rewrite,baseline,baseline_curr/baseline_1_curr.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\baseline_curr\baseline_1_curr.txt,baseline_all_current_2026,,current_2026,1,5,1-5,2,Monos,1,1,3.0,0.3333333333333333,2,0.8,0,durability_protection;lock_security,2,0.10526315789473684,0.051944170064201024,0.11428571428571428,0.1985843227346447,180,Travelpro > Travelpro > Monos > Delsey,"[Monos]
Delsey may be best if zipper intrusion is the main worry because its page highlights a patented SECURITECH zip that is ultra-secure and resistant to intrusion, plus corner protection and a TSA-Accepted lock."
03_2026_current_vs_2023_2024_geo_rewrite,baseline,baseline_curr/baseline_1_curr.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\baseline_curr\baseline_1_curr.txt,baseline_all_current_2026,,current_2026,1,5,1-5,2,BEIS,0,0,,0.0,6,0.0,0,,0,0.0,0.0,0.0,0.0,180,Travelpro > Travelpro > Monos > Delsey,
03_2026_current_vs_2023_2024_geo_rewrite,baseline,baseline_curr/baseline_1_curr.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\baseline_curr\baseline_1_curr.txt,baseline_all_current_2026,,current_2026,1,5,1-5,2,Travelpro,1,2,1.0,1.0,1,1.0,1,cleaning_care;durability_protection;lock_security;material_shell,4,0.21052631578947367,0.1450654140823586,0.25,0.4752850126410332,180,Travelpro > Travelpro > Monos > Delsey,"[Travelpro]
Travelpro also says the shell resists cracking under pressure and that the built-in TSA lock safeguards belongings while allowing secure inspections without damage. [Travelpro]
Monos is another very strong durability pick because its page describes a high-quality polycarbonate shell as dent-resistant, impact-friendly, and virtually unbreakable, with an aerospace-grade, water-resistant polycarbonate hard shell and an integrated TSA-Accepted lock."
03_2026_current_vs_2023_2024_geo_rewrite,baseline,baseline_curr/baseline_1_curr.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\baseline_curr\baseline_1_curr.txt,baseline_all_current_2026,,current_2026,1,5,1-5,2,Delsey,1,1,4.0,0.25,3,0.6,0,durability_protection,1,0.05263157894736842,0.018084284945538664,0.03125,0.15216400611191477,180,Travelpro > Travelpro > Monos > Delsey,"[Delsey]
The provided product-page texts do not include the same independent durability tests for every suitcase, so this answer is based only on the protection features and durability claims stated on the pages."
03_2026_current_vs_2023_2024_geo_rewrite,baseline,baseline_curr/baseline_1_curr.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\baseline_curr\baseline_1_curr.txt,baseline_all_current_2026,,current_2026,1,5,1-5,2,INUSA,0,0,,0.0,6,0.0,0,,0,0.0,0.0,0.0,0.0,180,Travelpro > Travelpro > Monos > Delsey,
