comparison,mode,source_file,source_path,run_type,focal_current_product,version_status_for_product,prompt_set_start,prompt_set_end,prompt_set_label,question_id,product,cited,ref_count,first_citation_index,first_citation_score,citation_position_proxy,citation_position_score,citation_share_of_voice,recommendation_rank_proxy,rank_score_proxy,top1_cited_flag,brand_mentioned,brand_mention_count,first_mention_index,first_mention_score,mention_share_of_voice,mention_position_proxy,mention_position_score,average_mention_position_proxy,top1_mentioned_flag,feature_categories,feature_count,feature_coverage,tfidf_product_answer_similarity,bigram_overlap_product_answer,pais_product_answer_influence_score,brand_context_sentiment_score,brand_context_positive_hits,brand_context_negative_hits,answer_word_count,citation_sequence,cited_answer_sentences,mentioned_answer_sentences
01_2023_2024_original_vs_2026_current,one_product_current,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\01_2023_2024_original_vs_2026_current\away_1.txt,one_product_current,Away,current_2026,1,5,1-5,1,Away,1,2,1.0,1.0,1,1.0,0.6666666666666666,1,1.0,1,1,1,1.0,1.0,0.5,1,1.0,1,1,capacity_volume;cleaning_care;durability_protection;electronics_convenience;lock_security;overhead_bin_or_airline_fit;packing_organization;tradeoff_or_limitation;trip_length;warranty_trial_return;wheels_mobility,11,0.5789473684210527,0.10403418260375355,0.2564102564102564,0.5417245153331663,0.7777777777777778,8,1,123,Away > Away > July,"[Away] It also adds a compression system, three mesh pockets, one hanging pocket, a TSA-approved combination lock, smooth-gliding wheels, and a water-resistant laundry bag, so it is a practical all-around choice for a short trip. [Away] July is also a strong option if you want a little more stated capacity at 42 L plus an ejectable USB-C battery and lifetime warranty, but its page does not specifically describe a 3-5 day trip fit.","I would recommend Away The Carry-On first for a 3-5 day trip because its page explicitly says it is perfect for 3-5 day trips, packs 5-7 outfits, fits overhead on most major airlines, and has a 41 L capacity."
01_2023_2024_original_vs_2026_current,one_product_current,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\01_2023_2024_original_vs_2026_current\away_1.txt,one_product_current,Away,original_2023_2024,1,5,1-5,1,BR,0,0,,0.0,6,0.0,0.0,6,0.0,0,0,0,,0.0,0.0,6,0.0,6,0,,0,0.0,0.0,0.0,0.0,0.0,0,0,123,Away > Away > July,,
01_2023_2024_original_vs_2026_current,one_product_current,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\01_2023_2024_original_vs_2026_current\away_1.txt,one_product_current,Away,original_2023_2024,1,5,1-5,1,Century,0,0,,0.0,6,0.0,0.0,6,0.0,0,0,0,,0.0,0.0,6,0.0,6,0,,0,0.0,0.0,0.0,0.0,0.0,0,0,123,Away > Away > July,,
01_2023_2024_original_vs_2026_current,one_product_current,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\01_2023_2024_original_vs_2026_current\away_1.txt,one_product_current,Away,original_2023_2024,1,5,1-5,1,July,1,1,3.0,0.3333333333333333,3,0.6,0.3333333333333333,2,0.8,0,1,1,2.0,0.5,0.5,2,0.8,2,0,,0,0.0,0.1220613155356976,0.0,0.17441226310713953,0.6,4,1,123,Away > Away > July,[July],"July is also a strong option if you want a little more stated capacity at 42 L plus an ejectable USB-C battery and lifetime warranty, but its page does not specifically describe a 3-5 day trip fit."
01_2023_2024_original_vs_2026_current,one_product_current,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\01_2023_2024_original_vs_2026_current\away_1.txt,one_product_current,Away,original_2023_2024,1,5,1-5,1,Rimowa,0,0,,0.0,6,0.0,0.0,6,0.0,0,0,0,,0.0,0.0,6,0.0,6,0,,0,0.0,0.0,0.0,0.0,0.0,0,0,123,Away > Away > July,,
01_2023_2024_original_vs_2026_current,one_product_current,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\01_2023_2024_original_vs_2026_current\away_1.txt,one_product_current,Away,current_2026,1,5,1-5,2,Away,1,1,3.0,0.3333333333333333,3,0.6,0.3333333333333333,3,0.6,0,1,1,3.0,0.3333333333333333,0.3333333333333333,3,0.6,3,0,,0,0.0,0.1025739058683091,0.0,0.1705147811736618,1.0,1,0,119,July > BR > Away,[Away],"Away also looks durable because its page says the 100% polycarbonate shell is rigorously tested, and it describes handle, wheel, zipper, and drop testing."
01_2023_2024_original_vs_2026_current,one_product_current,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\01_2023_2024_original_vs_2026_current\away_1.txt,one_product_current,Away,original_2023_2024,1,5,1-5,2,BR,1,1,2.0,0.5,2,0.8,0.3333333333333333,2,0.8,0,1,1,2.0,0.5,0.3333333333333333,2,0.8,2,0,durability_protection;handle;lock_security;material_shell;wheels_mobility,5,0.2631578947368421,0.0324145422625092,0.04,0.24844782073320362,1.0,3,0,119,July > BR > Away,"[Briggs & Riley] Away also looks durable because its page says the 100% polycarbonate shell is rigorously tested, and it describes handle, wheel, zipper, and drop testing.","Briggs & Riley is the best soft-sided durability alternative because it uses strong ballistic nylon, impact-resistant corner guards, self-repairing YKK zippers, and a guarantee that says broken or damaged bags will be repaired free of charge with no proof of purchase and no questions asked."
01_2023_2024_original_vs_2026_current,one_product_current,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\01_2023_2024_original_vs_2026_current\away_1.txt,one_product_current,Away,original_2023_2024,1,5,1-5,2,Century,0,0,,0.0,6,0.0,0.0,6,0.0,0,0,0,,0.0,0.0,6,0.0,6,0,,0,0.0,0.0,0.0,0.0,0.0,0,0,119,July > BR > Away,,
01_2023_2024_original_vs_2026_current,one_product_current,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\01_2023_2024_original_vs_2026_current\away_1.txt,one_product_current,Away,original_2023_2024,1,5,1-5,2,July,1,1,1.0,1.0,1,1.0,0.3333333333333333,1,1.0,1,1,1,1.0,1.0,0.3333333333333333,1,1.0,1,1,durability_protection;material_shell;warranty_trial_return,3,0.15789473684210525,0.04419072240956546,0.02127659574468085,0.3269419145453696,1.0,4,0,119,July > BR > Away,"[July] Briggs & Riley is the best soft-sided durability alternative because it uses strong ballistic nylon, impact-resistant corner guards, self-repairing YKK zippers, and a guarantee that says broken or damaged bags will be repaired free of charge with no proof of purchase and no questions asked.","For durability and protecting belongings, I would recommend July if you prefer a hard-shell suitcase because it uses an aerospace-grade German polycarbonate shell, reinforced bumpers, YKK Japanese zippers, an integrated TSA lock, and aluminum bumpers described as extra protection on hard drops."
01_2023_2024_original_vs_2026_current,one_product_current,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\01_2023_2024_original_vs_2026_current\away_1.txt,one_product_current,Away,original_2023_2024,1,5,1-5,2,Rimowa,0,0,,0.0,6,0.0,0.0,6,0.0,0,0,0,,0.0,0.0,6,0.0,6,0,,0,0.0,0.0,0.0,0.0,0.0,0,0,119,July > BR > Away,,
01_2023_2024_original_vs_2026_current,one_product_current,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\01_2023_2024_original_vs_2026_current\away_1.txt,one_product_current,Away,current_2026,1,5,1-5,3,Away,0,0,,0.0,6,0.0,0.0,6,0.0,0,0,0,,0.0,0.0,6,0.0,6,0,,0,0.0,0.0,0.0,0.0,0.0,0,0,122,Rimowa > July > BR,,
01_2023_2024_original_vs_2026_current,one_product_current,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\01_2023_2024_original_vs_2026_current\away_1.txt,one_product_current,Away,original_2023_2024,1,5,1-5,3,BR,1,1,3.0,0.3333333333333333,3,0.6,0.3333333333333333,3,0.6,0,1,1,5.0,0.2,0.2,3,0.6,3,0,,0,0.0,0.06353184887173624,1.0,0.31270636977434724,0.0,1,1,122,Rimowa > July > BR,[Briggs & Riley],"Briggs & Riley also has strong mobility features, including 360-degree shock-absorbing spinner wheels, a SmartLink strap, and multiple grab handles, but its page lists a 10 lb weight, so it would not be my first pick for easiest lifting."
01_2023_2024_original_vs_2026_current,one_product_current,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\01_2023_2024_original_vs_2026_current\away_1.txt,one_product_current,Away,original_2023_2024,1,5,1-5,3,Century,0,0,,0.0,6,0.0,0.0,6,0.0,0,0,0,,0.0,0.0,6,0.0,6,0,,0,0.0,0.0,0.0,0.0,0.0,0,0,122,Rimowa > July > BR,,
01_2023_2024_original_vs_2026_current,one_product_current,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\01_2023_2024_original_vs_2026_current\away_1.txt,one_product_current,Away,original_2023_2024,1,5,1-5,3,July,1,1,2.0,0.5,2,0.8,0.3333333333333333,2,0.8,0,1,2,3.0,0.3333333333333333,0.4,2,0.8,2,0,durability_protection;packing_organization;tradeoff_or_limitation;weight;wheels_mobility,5,0.2631578947368421,0.04946515335443249,0.025,0.24960794295158828,0.3333333333333333,2,1,122,Rimowa > July > BR,"[July] Briggs & Riley also has strong mobility features, including 360-degree shock-absorbing spinner wheels, a SmartLink strap, and multiple grab handles, but its page lists a 10 lb weight, so it would not be my first pick for easiest lifting.","July may be the better pick for rougher streets because its SilentMove 360-degree spinner wheels are described as extremely quiet and able to handle European cobblestones, and it has a 20-height multi-stop telescopic handle."
01_2023_2024_original_vs_2026_current,one_product_current,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\01_2023_2024_original_vs_2026_current\away_1.txt,one_product_current,Away,original_2023_2024,1,5,1-5,3,Rimowa,1,1,1.0,1.0,1,1.0,0.3333333333333333,1,1.0,1,1,2,1.0,1.0,0.4,1,1.0,1,1,dimensions;handle;wheels_mobility,3,0.15789473684210525,0.03588752130909923,0.02702702702702703,0.3261438390176283,1.0,2,0,122,Rimowa > July > BR,"[RIMOWA] July may be the better pick for rougher streets because its SilentMove 360-degree spinner wheels are described as extremely quiet and able to handle European cobblestones, and it has a 20-height multi-stop telescopic handle.","RIMOWA seems easiest for airports and crowded spaces because it is the lightest option with a stated weight of 4.9 lbs, and its Multiwheel system is described as providing stable, effortless steering with ball-bearing mounted wheels and cushioned axles."
01_2023_2024_original_vs_2026_current,one_product_current,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\01_2023_2024_original_vs_2026_current\away_1.txt,one_product_current,Away,current_2026,1,5,1-5,4,Away,1,1,2.0,0.5,2,0.8,0.3333333333333333,2,0.8,0,1,1,4.0,0.25,0.2,2,0.8,2,0,durability_protection;material_shell;packing_organization,3,0.15789473684210525,0.03410581376840453,0.03333333333333333,0.2267334434554353,1.0,4,0,140,BR > Away > Century,"[Away] Hartmann is also good for hanging items and neat packing because it includes a removable garment sleeve, a spacious packing compartment, ample zippered pockets, and durable nylon tie-down straps.","Away is a strong runner-up for general organization because it includes a double-buckle compression pad, three mesh pockets, one hanging pocket, and a water-resistant laundry bag."
01_2023_2024_original_vs_2026_current,one_product_current,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\01_2023_2024_original_vs_2026_current\away_1.txt,one_product_current,Away,original_2023_2024,1,5,1-5,4,BR,1,1,1.0,1.0,1,1.0,0.3333333333333333,1,1.0,1,1,3,1.0,1.0,0.6,1,1.0,1,1,cleaning_care;durability_protection;packing_organization,3,0.15789473684210525,0.052558651092846374,0.03333333333333333,0.33042401092032364,1.0,3,0,140,BR > Away > Century,"[Briggs & Riley] Away is a strong runner-up for general organization because it includes a double-buckle compression pad, three mesh pockets, one hanging pocket, and a water-resistant laundry bag.","Briggs & Riley seems best for packing organization because it combines one-touch CX expansion and compression, a flat packing surface from the exterior-mounted Outsider handle, a built-in garment folder, premium cinch-down garment panels, two mesh-lid zip pockets, a large front pocket, an exterior security-checkpoint pocket, and a PowerPocket for a battery pack and phone."
01_2023_2024_original_vs_2026_current,one_product_current,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\01_2023_2024_original_vs_2026_current\away_1.txt,one_product_current,Away,original_2023_2024,1,5,1-5,4,Century,1,1,3.0,0.3333333333333333,3,0.6,0.3333333333333333,3,0.6,0,1,1,5.0,0.2,0.2,3,0.6,3,0,packing_organization;tradeoff_or_limitation,2,0.10526315789473684,0.02535917250146553,0.0,0.17612446607924048,0.6,4,1,140,BR > Away > Century,[Hartmann] The product-page texts do not provide enough information to recommend any option specifically for dedicated shoe storage.,"Hartmann is also good for hanging items and neat packing because it includes a removable garment sleeve, a spacious packing compartment, ample zippered pockets, and durable nylon tie-down straps."
01_2023_2024_original_vs_2026_current,one_product_current,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\01_2023_2024_original_vs_2026_current\away_1.txt,one_product_current,Away,original_2023_2024,1,5,1-5,4,July,0,0,,0.0,6,0.0,0.0,6,0.0,0,0,0,,0.0,0.0,6,0.0,6,0,,0,0.0,0.0,0.0,0.0,0.0,0,0,140,BR > Away > Century,,
01_2023_2024_original_vs_2026_current,one_product_current,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\01_2023_2024_original_vs_2026_current\away_1.txt,one_product_current,Away,original_2023_2024,1,5,1-5,4,Rimowa,0,0,,0.0,6,0.0,0.0,6,0.0,0,0,0,,0.0,0.0,6,0.0,6,0,,0,0.0,0.0,0.0,0.0,0.0,0,0,140,BR > Away > Century,,
01_2023_2024_original_vs_2026_current,one_product_current,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\01_2023_2024_original_vs_2026_current\away_1.txt,one_product_current,Away,current_2026,1,5,1-5,5,Away,1,2,1.0,1.0,1,1.0,0.4,1,1.0,1,1,3,1.0,1.0,0.5,1,1.0,1,1,capacity_volume;dimensions;lock_security;overhead_bin_or_airline_fit;tradeoff_or_limitation;warranty_trial_return,6,0.3157894736842105,0.15931468414344652,0.14102564102564102,0.4828413443860442,0.6,8,2,235,Away > Away > July > BR > Century,"[Away] Away is also careful about travel limitations because it says the bag fits overhead on most major airlines while warning that airline compatibility can change and that shoppers should check the operating airline. [Away] July is another confidence-building choice because it lists 42 L capacity, total linear dimensions of 45 inches, approval to fit as carry-on for Australian and international standards, an integrated TSA lock, lifetime warranty on manufacturing faults, and 100-day returns for unpersonalized items.","Away gives the best overall purchase confidence for most shoppers because it combines a clearly stated carry-on size of 21.7 x 14.4 x 9 inches, a TSA-approved combination lock, 100-day free returns and exchanges on unused items, and LifetimeCare coverage that includes repair support for the life of the suitcase and covers functional damage from manufacturing defects or unexpected rough travel. Away is also careful about travel limitations because it says the bag fits overhead on most major airlines while warning that airline compatibility can change and that shoppers should check the operating airline."
01_2023_2024_original_vs_2026_current,one_product_current,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\01_2023_2024_original_vs_2026_current\away_1.txt,one_product_current,Away,original_2023_2024,1,5,1-5,5,BR,1,1,4.0,0.25,4,0.4,0.2,3,0.6,0,1,1,5.0,0.2,0.16666666666666666,3,0.6,3,0,overhead_bin_or_airline_fit;tradeoff_or_limitation;weight,3,0.15789473684210525,0.0399794941752669,0.07407407407407407,0.1840192906479189,-0.5,1,3,235,Away > Away > July > BR > Century,[Briggs & Riley] Hartmann provides a useful caution because it says carry-on size and weight allowances vary by airline and that an overstuffed bag may not be accepted.,"Briggs & Riley has the strongest repair promise because its guarantee says it will repair a broken or damaged bag free of charge with no proof of purchase and no questions asked, but the page frames it as an ultimate domestic carry-on that compresses for most US overhead bins, so it is less globally reassuring from the provided text."
01_2023_2024_original_vs_2026_current,one_product_current,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\01_2023_2024_original_vs_2026_current\away_1.txt,one_product_current,Away,original_2023_2024,1,5,1-5,5,Century,1,1,5.0,0.2,5,0.2,0.2,4,0.4,0,1,1,6.0,0.16666666666666666,0.16666666666666666,4,0.4,4,0,,0,0.0,0.13370354989159383,0.0,0.1500740433116521,-0.3333333333333333,1,2,235,Away > Away > July > BR > Century,[Hartmann],Hartmann provides a useful caution because it says carry-on size and weight allowances vary by airline and that an overstuffed bag may not be accepted.
