comparison,mode,source_file_geo,source_path,run_type,focal_geo_product,version_status_for_product,prompt_set_start,prompt_set_end,prompt_set_label_geo,question_id,product,cited_geo,ref_count_geo,first_citation_index,first_citation_score_geo,recommendation_rank_proxy_geo,rank_score_proxy_geo,top1_cited_flag_geo,feature_categories,feature_count_geo,feature_coverage_geo,tfidf_product_answer_similarity_geo,bigram_overlap_product_answer_geo,pais_product_answer_influence_score_geo,answer_word_count,citation_sequence,cited_answer_sentences,cited_current,ref_count_current,first_citation_score_current,recommendation_rank_proxy_current,rank_score_proxy_current,top1_cited_flag_current,feature_count_current,feature_coverage_current,tfidf_product_answer_similarity_current,bigram_overlap_product_answer_current,pais_product_answer_influence_score_current,source_file_current,prompt_set_label_current,current_baseline_match_found,delta_cited,delta_ref_count,delta_first_citation_score,delta_recommendation_rank_proxy,delta_rank_score_proxy,delta_top1_cited_flag,delta_feature_count,delta_feature_coverage,delta_tfidf_product_answer_similarity,delta_bigram_overlap_product_answer,delta_pais_product_answer_influence_score,delta_citation_rate,delta_mean_ref_count,rank_improvement_geo_minus_current,delta_top1_cited_share,delta_pais
03_2026_current_vs_2023_2024_geo_rewrite,one_product_geo_against_current,03_2026_current_vs_2023_2024_geo_rewrite/beis_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\beis_1.txt,one_product_geo_rewrite_against_current,BEIS,geo_rewrite_2023_2024,1,5,1-5,1,BEIS,1,1,3.0,0.3333333333333333,3,0.6,0,,0,0.0,0.0,0.0,0.15,137,Delsey > Monos > BEIS,[BEIS],1.0,1.0,0.25,3.0,0.6,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,baseline_curr/baseline_1_curr.txt,1-5,True,0.0,0.0,0.08333333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666663,0.0,0.0,0.0,0.0,0.016666666666666663
03_2026_current_vs_2023_2024_geo_rewrite,one_product_geo_against_current,03_2026_current_vs_2023_2024_geo_rewrite/beis_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\beis_1.txt,one_product_geo_rewrite_against_current,BEIS,geo_rewrite_2023_2024,1,5,1-5,2,BEIS,0,0,,0.0,6,0.0,0,,0,0.0,0.0,0.0,0.0,110,Travelpro > Monos > Delsey,,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline_curr/baseline_1_curr.txt,1-5,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03_2026_current_vs_2023_2024_geo_rewrite,one_product_geo_against_current,03_2026_current_vs_2023_2024_geo_rewrite/beis_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\beis_1.txt,one_product_geo_rewrite_against_current,BEIS,geo_rewrite_2023_2024,1,5,1-5,3,BEIS,1,1,3.0,0.3333333333333333,2,0.8,0,wheels_mobility,1,0.05263157894736842,0.02596254359518282,0.047619047619047616,0.1728616816513674,120,Travelpro > Travelpro > BEIS > Delsey,"[BEIS] Delsey also emphasizes mobility with dual-density wheels, soft-touch handles, precise handling, and movement through airports and demanding city streets.",0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline_curr/baseline_1_curr.txt,1-5,True,1.0,1.0,0.3333333333333333,-4.0,0.8,0.0,1.0,0.05263157894736842,0.02596254359518282,0.047619047619047616,0.1728616816513674,1.0,1.0,4.0,0.0,0.1728616816513674
03_2026_current_vs_2023_2024_geo_rewrite,one_product_geo_against_current,03_2026_current_vs_2023_2024_geo_rewrite/beis_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\beis_1.txt,one_product_geo_rewrite_against_current,BEIS,geo_rewrite_2023_2024,1,5,1-5,4,BEIS,1,1,1.0,1.0,1,1.0,1,packing_organization,1,0.05263157894736842,0.03863981949711825,0.05263157894736842,0.3094823498643359,139,BEIS > Monos > Travelpro > INUSA,"[BEIS] Monos is also well organized, with a built-in removable compression pad with a zippered pocket, ballistic nylon straps, a zipped panel for shoes and other items, generously placed pockets, plus an included laundry bag and two shoe bags.",1.0,2.0,1.0,1.0,1.0,1.0,7.0,0.3684210526315789,0.09830765843293927,0.17647058823529413,0.4864829971148645,baseline_curr/baseline_1_curr.txt,1-5,True,0.0,-1.0,0.0,0.0,0.0,0.0,-6.0,-0.3157894736842105,-0.059667838935821026,-0.12383900928792571,-0.17700064725052855,0.0,-1.0,0.0,0.0,-0.17700064725052855
03_2026_current_vs_2023_2024_geo_rewrite,one_product_geo_against_current,03_2026_current_vs_2023_2024_geo_rewrite/beis_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\beis_1.txt,one_product_geo_rewrite_against_current,BEIS,geo_rewrite_2023_2024,1,5,1-5,5,BEIS,1,1,4.0,0.25,3,0.6,0,lock_security;overhead_bin_or_airline_fit;tradeoff_or_limitation;warranty_trial_return,4,0.21052631578947367,0.01880218381657812,0.0,0.17919903325454367,213,Monos > Monos > Travelpro > BEIS > Delsey > INUSA,"[BEIS] Delsey includes a TSA-accepted lock, a 10-year limited worldwide warranty, and a 30-day unused-merchandise return policy, but the provided page does not give the same broad airline-fit assurance as Monos.",1.0,1.0,0.16666666666666666,4.0,0.4,0.0,4.0,0.21052631578947367,0.023912953952464896,0.03125,0.1682420206150544,baseline_curr/baseline_1_curr.txt,1-5,True,0.0,0.0,0.08333333333333334,-1.0,0.19999999999999996,0.0,0.0,0.0,-0.005110770135886775,-0.03125,0.010957012639489283,0.0,0.0,1.0,0.0,0.010957012639489283
03_2026_current_vs_2023_2024_geo_rewrite,one_product_geo_against_current,03_2026_current_vs_2023_2024_geo_rewrite/beis_11.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\beis_11.txt,one_product_geo_rewrite_against_current,BEIS,geo_rewrite_2023_2024,11,15,11-15,11,BEIS,1,1,5.0,0.2,4,0.4,0,capacity_volume;expansion;overhead_bin_or_airline_fit,3,0.15789473684210525,0.03436014603599293,0.08333333333333333,0.174284309908953,280,Monos > Travelpro > Travelpro > INUSA > BEIS > Delsey,[BEIS] Delsey also has possible size limitations because the Carry-On Plus is aimed at overpackers who want extra room and measures 22.75 in.,1.0,1.0,0.25,4.0,0.4,0.0,3.0,0.15789473684210525,0.021620552340477016,0.1276595744680851,0.18838532734006258,baseline_curr/baseline_11_curr.txt,11-15,True,0.0,0.0,-0.04999999999999999,0.0,0.0,0.0,0.0,0.0,0.012739593695515916,-0.04432624113475177,-0.014101017431109586,0.0,0.0,0.0,0.0,-0.014101017431109586
03_2026_current_vs_2023_2024_geo_rewrite,one_product_geo_against_current,03_2026_current_vs_2023_2024_geo_rewrite/beis_11.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\beis_11.txt,one_product_geo_rewrite_against_current,BEIS,geo_rewrite_2023_2024,11,15,11-15,12,BEIS,1,1,3.0,0.3333333333333333,3,0.6,0,cleaning_care;durability_protection;material_shell;sustainability;weight,5,0.2631578947368421,0.030857652157002258,0.08333333333333333,0.22130310937876888,208,Monos > Travelpro > BEIS > INUSA > Delsey,[BEIS] INUSA mentions an impact-resistant design and a lightweight PC/ABS material with a micro-diamond finish that is water-resistant and scratch-resistant.,1.0,1.0,0.25,4.0,0.4,0.0,6.0,0.3157894736842105,0.023156995706338033,0.0,0.20112262721144306,baseline_curr/baseline_11_curr.txt,11-15,True,0.0,0.0,0.08333333333333331,-1.0,0.19999999999999996,0.0,-1.0,-0.05263157894736842,0.007700656450664225,0.08333333333333333,0.02018048216732582,0.0,0.0,1.0,0.0,0.02018048216732582
03_2026_current_vs_2023_2024_geo_rewrite,one_product_geo_against_current,03_2026_current_vs_2023_2024_geo_rewrite/beis_11.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\beis_11.txt,one_product_geo_rewrite_against_current,BEIS,geo_rewrite_2023_2024,11,15,11-15,13,BEIS,1,1,6.0,0.16666666666666666,4,0.4,0,cleaning_care;durability_protection;sustainability;tradeoff_or_limitation,4,0.21052631578947367,0.019423056824271527,0.0,0.1626565411894157,247,Monos > Monos > Travelpro > Travelpro > Delsey > BEIS > INUSA,"[BEIS] INUSA does not provide concrete sustainability-related information in the supplied product-page text, though it does provide durability claims such as highly tested materials, impact-resistant design, and a water/scratch-resistant finish.",1.0,1.0,0.16666666666666666,4.0,0.4,0.0,6.0,0.3157894736842105,0.01714655000066234,0.02702702702702703,0.1873079254576953,baseline_curr/baseline_11_curr.txt,11-15,True,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-0.10526315789473684,0.0022765068236091854,-0.02702702702702703,-0.02465138426827962,0.0,0.0,0.0,0.0,-0.02465138426827962
03_2026_current_vs_2023_2024_geo_rewrite,one_product_geo_against_current,03_2026_current_vs_2023_2024_geo_rewrite/beis_11.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\beis_11.txt,one_product_geo_rewrite_against_current,BEIS,geo_rewrite_2023_2024,11,15,11-15,14,BEIS,1,1,2.0,0.5,2,0.8,0,comparison_ready_evidence;durability_protection;electronics_convenience;lock_security;packing_organization;tradeoff_or_limitation;wheels_mobility,7,0.3684210526315789,0.04177817875245288,0.0,0.26537317961013973,283,Travelpro > BEIS > Delsey > Monos > INUSA,"[BEIS] Delsey offers several convenience features too, including a USB port, removable pouch, TSA-accepted lock, dual-density spinner wheels, soft-touch handles, dedicated pockets, securing straps, and SECURITECH zip protection, but the page does not explain charging details such as whether a power bank is included or where it fits.",1.0,1.0,0.5,2.0,0.8,0.0,8.0,0.42105263157894735,0.10060526007895416,0.05084745762711865,0.29529203030898143,baseline_curr/baseline_11_curr.txt,11-15,True,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.05263157894736842,-0.05882708132650129,-0.05084745762711865,-0.029918850698841704,0.0,0.0,0.0,0.0,-0.029918850698841704
03_2026_current_vs_2023_2024_geo_rewrite,one_product_geo_against_current,03_2026_current_vs_2023_2024_geo_rewrite/beis_11.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\beis_11.txt,one_product_geo_rewrite_against_current,BEIS,geo_rewrite_2023_2024,11,15,11-15,15,BEIS,1,1,3.0,0.3333333333333333,3,0.6,0,capacity_volume;cleaning_care;comparison_ready_evidence;dimensions;durability_protection;electronics_convenience;material_shell;overhead_bin_or_airline_fit;sustainability;tradeoff_or_limitation;warranty_trial_return;weight,12,0.631578947368421,0.040069084898785204,0.017857142857142856,0.28700817788201266,267,Travelpro > Monos > BEIS > Delsey > INUSA,"[BEIS] Delsey provides core specs such as exterior and interior dimensions, linear dimensions, weight, capacity, material, warranty, and several feature callouts, but shoppers should double-check airline fit, how the USB port is powered, the specific recycled materials used, and cleaning or scratch/scuff-resistance details because those points are not fully explained in the supplied text.",1.0,2.0,0.2,3.0,0.6,0.0,11.0,0.5789473684210527,0.08568743194536552,0.171875,0.3653748767399503,baseline_curr/baseline_11_curr.txt,11-15,True,0.0,-1.0,0.1333333333333333,0.0,0.0,0.0,1.0,0.05263157894736836,-0.04561834704658031,-0.15401785714285715,-0.07836669885793762,0.0,-1.0,0.0,0.0,-0.07836669885793762
