comparison,mode,source_file,source_path,run_type,focal_current_product,version_status_for_product,prompt_set_start,prompt_set_end,prompt_set_label,question_id,product,cited,ref_count,first_citation_index,first_citation_score,citation_position_proxy,citation_position_score,citation_share_of_voice,recommendation_rank_proxy,rank_score_proxy,top1_cited_flag,brand_mentioned,brand_mention_count,first_mention_index,first_mention_score,mention_share_of_voice,mention_position_proxy,mention_position_score,average_mention_position_proxy,top1_mentioned_flag,feature_categories,feature_count,feature_coverage,tfidf_product_answer_similarity,bigram_overlap_product_answer,pais_product_answer_influence_score,brand_context_sentiment_score,brand_context_positive_hits,brand_context_negative_hits,answer_word_count,citation_sequence,cited_answer_sentences,mentioned_answer_sentences
01_2023_2024_original_vs_2026_current,baseline,baseline_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\baseline\baseline_1.txt,baseline_all_original,,original_2023_2024,1,5,1-5,1,Away,1,2,1.0,1.0,1,1.0,0.6666666666666666,1,1.0,1,1,1,1.0,1.0,0.3333333333333333,1,1.0,1,1,capacity_volume;electronics_convenience;overhead_bin_or_airline_fit;packing_organization;tradeoff_or_limitation;trip_length,6,0.3157894736842105,0.11753653722698511,0.2753623188405797,0.49463621667499275,0.7142857142857143,6,1,107,Away > Away > July,"[Away] It also says the suitcase is sized to fit in all overhead bins, is perfect for any quick trip, and meets carry-on requirements for most major airlines. [Away] July is a strong alternative if you want slightly more listed capacity, because it offers 42 L, an ejectable battery, a hidden laundry bag, and Y-Strap compression, but its page does not state a 3-5 day trip range.","I would recommend Away The Carry-On for a 3-5 day trip because its page explicitly labels it for 3-5 days, says it fits 5-7 outfits, and lists a 39.8 L capacity."
01_2023_2024_original_vs_2026_current,baseline,baseline_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\baseline\baseline_1.txt,baseline_all_original,,original_2023_2024,1,5,1-5,1,BR,0,0,,0.0,6,0.0,0.0,6,0.0,0,0,0,,0.0,0.0,6,0.0,6,0,,0,0.0,0.0,0.0,0.0,0.0,0,0,107,Away > Away > July,,
01_2023_2024_original_vs_2026_current,baseline,baseline_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\baseline\baseline_1.txt,baseline_all_original,,original_2023_2024,1,5,1-5,1,Century,0,0,,0.0,6,0.0,0.0,6,0.0,0,0,0,,0.0,0.0,6,0.0,6,0,,0,0.0,0.0,0.0,0.0,0.0,0,0,107,Away > Away > July,,
01_2023_2024_original_vs_2026_current,baseline,baseline_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\baseline\baseline_1.txt,baseline_all_original,,original_2023_2024,1,5,1-5,1,July,1,1,3.0,0.3333333333333333,3,0.6,0.3333333333333333,2,0.8,0,1,2,2.0,0.5,0.6666666666666666,2,0.8,2,0,,0,0.0,0.1220613155356976,0.0,0.17441226310713953,0.3333333333333333,2,1,107,Away > Away > July,[July],"July is a strong alternative if you want slightly more listed capacity, because it offers 42 L, an ejectable battery, a hidden laundry bag, and Y-Strap compression, but its page does not state a 3-5 day trip range."
01_2023_2024_original_vs_2026_current,baseline,baseline_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\baseline\baseline_1.txt,baseline_all_original,,original_2023_2024,1,5,1-5,1,Rimowa,0,0,,0.0,6,0.0,0.0,6,0.0,0,0,0,,0.0,0.0,6,0.0,6,0,,0,0.0,0.0,0.0,0.0,0.0,0,0,107,Away > Away > July,,
01_2023_2024_original_vs_2026_current,baseline,baseline_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\baseline\baseline_1.txt,baseline_all_original,,original_2023_2024,1,5,1-5,2,Away,0,0,,0.0,6,0.0,0.0,6,0.0,0,0,0,,0.0,0.0,6,0.0,6,0,,0,0.0,0.0,0.0,0.0,0.0,0,0,108,July > July > BR,,
01_2023_2024_original_vs_2026_current,baseline,baseline_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\baseline\baseline_1.txt,baseline_all_original,,original_2023_2024,1,5,1-5,2,BR,1,1,3.0,0.3333333333333333,3,0.6,0.3333333333333333,2,0.8,0,1,1,2.0,0.5,0.5,2,0.8,2,0,,0,0.0,0.06353184887173624,1.0,0.31270636977434724,1.0,1,0,108,July > July > BR,[Briggs & Riley],"Briggs & Riley is the strongest softside durability runner-up because its page lists remarkably strong ballistic nylon that resists wear, impact-resistant corner guards, self-repairing YKK zippers, and a lifetime repair guarantee with no proof of purchase and no questions asked."
01_2023_2024_original_vs_2026_current,baseline,baseline_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\baseline\baseline_1.txt,baseline_all_original,,original_2023_2024,1,5,1-5,2,Century,0,0,,0.0,6,0.0,0.0,6,0.0,0,0,0,,0.0,0.0,6,0.0,6,0,,0,0.0,0.0,0.0,0.0,0.0,0,0,108,July > July > BR,,
01_2023_2024_original_vs_2026_current,baseline,baseline_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\baseline\baseline_1.txt,baseline_all_original,,original_2023_2024,1,5,1-5,2,July,1,2,1.0,1.0,1,1.0,0.6666666666666666,1,1.0,1,1,1,1.0,1.0,0.5,1,1.0,1,1,durability_protection;material_shell;warranty_trial_return,3,0.15789473684210525,0.08948450818030422,0.16393442622950818,0.4407326796055748,1.0,3,0,108,July > July > BR,"[July] The page also says the curved eggshell design minimises damage and calls the case designed to be unbreakable. [July] Briggs & Riley is the strongest softside durability runner-up because its page lists remarkably strong ballistic nylon that resists wear, impact-resistant corner guards, self-repairing YKK zippers, and a lifetime repair guarantee with no proof of purchase and no questions asked.","July Carry On Original seems best if durability and protecting belongings are the top priorities because its page describes an aerospace-grade German polycarbonate shell, reinforced bumpers, anodised aluminium bumpers for extra protection on hard drops, YKK Japanese zippers, and an integrated TSA lock."
01_2023_2024_original_vs_2026_current,baseline,baseline_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\baseline\baseline_1.txt,baseline_all_original,,original_2023_2024,1,5,1-5,2,Rimowa,0,0,,0.0,6,0.0,0.0,6,0.0,0,0,0,,0.0,0.0,6,0.0,6,0,,0,0.0,0.0,0.0,0.0,0.0,0,0,108,July > July > BR,,
