comparison,mode,source_file,run_type,focal_current_product,version_status_for_product,question_id,product,cited,ref_count,first_citation_index,first_citation_score,recommendation_rank_proxy,rank_score_proxy,top1_cited_flag,feature_categories,feature_count,feature_coverage,tfidf_product_answer_similarity,bigram_overlap_product_answer,pais_product_answer_influence_score,answer_word_count,citation_sequence,cited_answer_sentences
01_2023_2024_original_vs_2026_current,baseline,baseline.txt,baseline_all_original,,original_2023_2024,1,Monos,0,0,,0.0,6,0.0,0,,0,0.0,0.0,0.0,0.0,152,Delsey > Delsey > Travelpro,
01_2023_2024_original_vs_2026_current,baseline,baseline.txt,baseline_all_original,,original_2023_2024,1,BEIS,0,0,,0.0,6,0.0,0,,0,0.0,0.0,0.0,0.0,152,Delsey > Delsey > Travelpro,
01_2023_2024_original_vs_2026_current,baseline,baseline.txt,baseline_all_original,,original_2023_2024,1,Travelpro,1,1,3.0,0.3333333333333333,2,0.8,0,,0,0.0,0.05071619975021293,0.0,0.1601432399500426,152,Delsey > Delsey > Travelpro,[Travelpro]
01_2023_2024_original_vs_2026_current,baseline,baseline.txt,baseline_all_original,,original_2023_2024,1,Delsey,1,2,1.0,1.0,1,1.0,1,capacity_volume;dimensions;expansion;material_shell;overhead_bin_or_airline_fit;packing_organization;tradeoff_or_limitation;trip_length;wheels_mobility,9,0.6,0.12454739379350853,0.10465116279069768,0.5272738198439731,152,Delsey > Delsey > Travelpro,"[Delsey]
It is also practical for this trip length because it has dual compartments, compression cross straps, a zippered divider, mesh pockets, and included laundry and shoe bags, so the capacity is supported by useful organization. [Delsey]
The Travelpro Platinum Elite Carry-On Expandable Hardside Spinner is also a strong choice because it has 45 L of volume, a 2-inch expansion option, and is sizer-bin tested for overhead bins on most major domestic airlines, but the page warns that the fully expanded carry-on may not meet airline restrictions."
01_2023_2024_original_vs_2026_current,baseline,baseline.txt,baseline_all_original,,original_2023_2024,1,INUSA,0,0,,0.0,6,0.0,0,,0,0.0,0.0,0.0,0.0,152,Delsey > Delsey > Travelpro,
01_2023_2024_original_vs_2026_current,baseline,baseline.txt,baseline_all_original,,original_2023_2024,2,Monos,1,1,4.0,0.25,3,0.6,0,,0,0.0,0.06461418576726963,0.0,0.14625617048678727,132,Travelpro > Travelpro > Delsey > Monos,[Monos]
01_2023_2024_original_vs_2026_current,baseline,baseline.txt,baseline_all_original,,original_2023_2024,2,BEIS,0,0,,0.0,6,0.0,0,,0,0.0,0.0,0.0,0.0,132,Travelpro > Travelpro > Delsey > Monos,
01_2023_2024_original_vs_2026_current,baseline,baseline.txt,baseline_all_original,,original_2023_2024,2,Travelpro,1,2,1.0,1.0,1,1.0,1,durability_protection;lock_security,2,0.13333333333333333,0.09899209912354011,0.23076923076923078,0.447747137773426,132,Travelpro > Travelpro > Delsey > Monos,"[Travelpro]
It also adds aluminum corner armor for high-impact areas, a textured finish to reduce the visibility of scuffs or scratches, and a built-in TSA-approved lock. [Travelpro]
Delsey is the strongest alternate if zipper security is the priority because its patented SECURITECH zip is described as 3 times more resistant than a standard zipper and intended to offer optimal protection and security for belongings."
01_2023_2024_original_vs_2026_current,baseline,baseline.txt,baseline_all_original,,original_2023_2024,2,Delsey,1,1,3.0,0.3333333333333333,2,0.8,0,durability_protection;lock_security;material_shell;tradeoff_or_limitation,4,0.26666666666666666,0.04457308905629618,0.03571428571428571,0.21760509400173544,132,Travelpro > Travelpro > Delsey > Monos,"[Delsey]
Monos also looks protective, but the provided page gives fewer concrete protection details beyond an unbreakable polycarbonate shell, aerospace-grade polycarbonate, a TSA-approved lock, and premium materials."
01_2023_2024_original_vs_2026_current,baseline,baseline.txt,baseline_all_original,,original_2023_2024,2,INUSA,0,0,,0.0,6,0.0,0,,0,0.0,0.0,0.0,0.0,132,Travelpro > Travelpro > Delsey > Monos,
