source_file,source_path,run_type,focal_current_product,comparison,question_id,answer_text,prompt_set_start,prompt_set_end,prompt_set_label,overall_shopper_takeaway
beis_2023vs2026_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\01_2023_2024_original_vs_2026_current\beis_2023vs2026_1.txt,one_product_current,BEIS,01_2023_2024_original_vs_2026_current,1,"For a 3-5 day trip, I would recommend the Delsey CHATELET AIR 2.0 Carry-On Plus Spinner as the most directly matched option because its page specifically says the Carry-On Plus is ideal for 3-5 day trips and fits 5-7 outfits. [Delsey] It also has 44 L of volume, dual compartments with compression cross straps, a zippered divider, mesh pockets, and included laundry and shoe bags, so it gives enough structure for several days without relying only on loose packing space. [Delsey] Travelpro is a strong alternative if you want more tech and expansion because it has 45 L of volume, a 2-inch expansion option, USB A & C ports, and a sizer-bin-tested design for most major domestic airlines, but the page warns that the fully expanded carry-on may not meet airline restrictions. [Travelpro] BÉIS is appealing for overpackers because it offers 49-61 L capacity and 2 inches of expandable space, but its page tells shoppers to check airline guidelines, so I would be more cautious if strict carry-on sizing matters. [BEIS]",1,5,1-5,"For a straightforward 3-5 day carry-on, Delsey is the best direct match because the page explicitly names that trip length and includes useful organization and security features. [Delsey] For the strongest durability/protection story, Travelpro stands out because of its impact-flexing polycarbonate shell, aluminum corner armor, TSA lock, warranty details, and 100-day trial. [Travelpro] For organization-heavy packing, BÉIS is the most feature-rich, especially for shoes, laundry, damp clothing, valuables, and compression. [BEIS] For the most complete purchase-confidence information, Travelpro is the safest recommendation for domestic-airline shoppers, while Monos is worth considering if the shopper cares most about broad overhead-bin fit and a 100-day trial. [Travelpro] [Monos]"
beis_2023vs2026_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\01_2023_2024_original_vs_2026_current\beis_2023vs2026_1.txt,one_product_current,BEIS,01_2023_2024_original_vs_2026_current,2,"If durability and protecting belongings are the top priorities, I would recommend Travelpro first, with Delsey as a close second. Travelpro uses an ultra-strong, easy-to-clean 100% polycarbonate shell that flexes on impact to help prevent cracking, has aluminum corner armor for high-impact areas, and has a textured finish that helps reduce visible scuffs and scratching. [Travelpro] It also has a built-in TSA-approved lock, and its limited warranty covers functional defects involving wheels, zippers, extension handles, and carrying handles. [Travelpro] Delsey is especially compelling for zipper and security protection because its patented SECURITECH® zipper is described as 3 times more resistant than a standard zipper and offering optimal protection and security for belongings. [Delsey] Delsey also has a 100% polycarbonate shell and shock-absorbing corner protectors that safeguard against wear and tear. [Delsey] Monos is also durable on paper because it lists an unbreakable polycarbonate shell, an aerospace-grade polycarbonate shell, a TSA-approved lock, reverse coil YKK zippers, and a limited lifetime warranty, but the page gives fewer specific impact-protection details than Travelpro and Delsey. [Monos]",1,5,1-5,"For a straightforward 3-5 day carry-on, Delsey is the best direct match because the page explicitly names that trip length and includes useful organization and security features. [Delsey] For the strongest durability/protection story, Travelpro stands out because of its impact-flexing polycarbonate shell, aluminum corner armor, TSA lock, warranty details, and 100-day trial. [Travelpro] For organization-heavy packing, BÉIS is the most feature-rich, especially for shoes, laundry, damp clothing, valuables, and compression. [BEIS] For the most complete purchase-confidence information, Travelpro is the safest recommendation for domestic-airline shoppers, while Monos is worth considering if the shopper cares most about broad overhead-bin fit and a 100-day trial. [Travelpro] [Monos]"
beis_2023vs2026_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\01_2023_2024_original_vs_2026_current\beis_2023vs2026_1.txt,one_product_current,BEIS,01_2023_2024_original_vs_2026_current,3,"Travelpro seems easiest to move through airports and crowded spaces because its page gives the most specific mobility system: PrecisionGlide® for precise control and effortless roll, eight MagnaTrac® self-aligning spinner wheels, and a four-stop adjustable PowerScope Lite handle with a Contour Grip. [Travelpro] Delsey is another excellent mobility choice because it is described as lightweight and easy to maneuver, with exclusive dual-density double-spinner wheels for smooth maneuverability and a quiet ride, plus ergonomic soft-grip top and side handles. [Delsey] INUSA may be easiest to lift because it is the lightest listed option at 5.9 lbs and has four 360° silent wheels plus top and side ergonomic GEL handles, but its page provides less detail about wheel control than Travelpro. [INUSA] BÉIS and Monos also mention smooth or quiet wheels and comfortable handles, but Travelpro provides the strongest product-page evidence for control in tight spaces. [BEIS] [Monos]",1,5,1-5,"For a straightforward 3-5 day carry-on, Delsey is the best direct match because the page explicitly names that trip length and includes useful organization and security features. [Delsey] For the strongest durability/protection story, Travelpro stands out because of its impact-flexing polycarbonate shell, aluminum corner armor, TSA lock, warranty details, and 100-day trial. [Travelpro] For organization-heavy packing, BÉIS is the most feature-rich, especially for shoes, laundry, damp clothing, valuables, and compression. [BEIS] For the most complete purchase-confidence information, Travelpro is the safest recommendation for domestic-airline shoppers, while Monos is worth considering if the shopper cares most about broad overhead-bin fit and a 100-day trial. [Travelpro] [Monos]"
beis_2023vs2026_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\01_2023_2024_original_vs_2026_current\beis_2023vs2026_1.txt,one_product_current,BEIS,01_2023_2024_original_vs_2026_current,4,"For packing organization, I would recommend BÉIS because it has the most detailed organization setup in the provided pages. Its interior includes a butterfly opening, easy-to-clean lining, a U-zip flap, one zip pocket, one frosted pocket, a valuables zip pouch, and separate pouches for dirty clothes, shoes, undergarments, and damp clothing. [BEIS] It also has a detachable compression flap with a U-zip pocket, mesh backing, and four-point compression straps, which should help keep clothes organized and compressed. [BEIS] Delsey is a strong runner-up because it has dual compartments, compression cross straps, a zippered divider, mesh zippered pockets, and included laundry and shoe bags. [Delsey] Monos also organizes well with a zipped panel for shoes and other items, a compression pad, ballistic nylon straps, and generously sized pockets. [Monos] Travelpro covers the basics well with two zippered divider panels, multiple accessory pockets, and a water-resistant pocket for damp items or toiletries, while INUSA only mentions lining and tie-down straps, so the INUSA page does not provide enough organization detail to rank it highly here. [Travelpro] [INUSA]",1,5,1-5,"For a straightforward 3-5 day carry-on, Delsey is the best direct match because the page explicitly names that trip length and includes useful organization and security features. [Delsey] For the strongest durability/protection story, Travelpro stands out because of its impact-flexing polycarbonate shell, aluminum corner armor, TSA lock, warranty details, and 100-day trial. [Travelpro] For organization-heavy packing, BÉIS is the most feature-rich, especially for shoes, laundry, damp clothing, valuables, and compression. [BEIS] For the most complete purchase-confidence information, Travelpro is the safest recommendation for domestic-airline shoppers, while Monos is worth considering if the shopper cares most about broad overhead-bin fit and a 100-day trial. [Travelpro] [Monos]"
beis_2023vs2026_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\01_2023_2024_original_vs_2026_current\beis_2023vs2026_1.txt,one_product_current,BEIS,01_2023_2024_original_vs_2026_current,5,"For the best overall purchase confidence, I would choose Travelpro if the shopper is mainly flying on major domestic airlines. Its page provides exact overall dimensions, case dimensions, weight, and volume, says the bag has been sizer-bin-tested for overhead bins on most major domestic airlines, includes a built-in TSA-approved lock, offers a 100-day trial with return shipping paid, and describes a limited warranty plus a Trusted Companion Promise that can cover warranty shipping and airline or common-carrier damage for the first five years after registration. [Travelpro] The key limitation is that Travelpro says the fully expanded carry-on may not meet airline restrictions, so expansion should be treated as useful but not always flight-safe. [Travelpro] Monos gives very strong confidence for broad carry-on fit because its page says the bag is designed to fit in the overhead bin of almost any flight anywhere in the world, and it also includes a TSA-approved lock, a limited lifetime warranty, and a 100-day trial. [Monos] However, the Monos page text provided does not include exact dimensions, weight, or volume, so Travelpro gives more complete purchase-check information from the supplied product pages. [Monos] Delsey also gives good confidence with exact size, 44 L volume, TSA-accepted lock, 10-year warranty language, and a note that it meets carry-on requirements for most domestic airlines, but it also says size and weight restrictions vary by airline. [Delsey] BÉIS has strong capacity, TSA lock, limited lifetime luggage warranty, and a weight indicator, but its page says shoppers should check airline guidelines and does not provide a trial policy in the provided text. [BEIS] INUSA has a TSA-approved lock and is described as suitable for most major airlines, but the provided page does not include warranty or trial information. [INUSA]",1,5,1-5,"For a straightforward 3-5 day carry-on, Delsey is the best direct match because the page explicitly names that trip length and includes useful organization and security features. [Delsey] For the strongest durability/protection story, Travelpro stands out because of its impact-flexing polycarbonate shell, aluminum corner armor, TSA lock, warranty details, and 100-day trial. [Travelpro] For organization-heavy packing, BÉIS is the most feature-rich, especially for shoes, laundry, damp clothing, valuables, and compression. [BEIS] For the most complete purchase-confidence information, Travelpro is the safest recommendation for domestic-airline shoppers, while Monos is worth considering if the shopper cares most about broad overhead-bin fit and a 100-day trial. [Travelpro] [Monos]"
beis_2023vs2026_11.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\01_2023_2024_original_vs_2026_current\beis_2023vs2026_11.txt,one_product_current,BEIS,01_2023_2024_original_vs_2026_current,11,"For stricter carry-on rules, the safest-looking option by airline-fit language is Monos because the page says the Carry-On is “designed to fit in the overhead bin of almost any flight, anywhere in the world,” although the provided text does not give exact dimensions, weight, or capacity to verify that claim against a specific airline. [Monos] Travelpro also looks relatively safe for U.S. domestic travel when not expanded because it says the bag was sizer-bin tested for overhead bins on most major domestic or U.S. airlines and gives overall dimensions of 23 in. H x 14.5 in. W x 9.5 in. D. [Travelpro] The main Travelpro limitation is that the fully expanded carry-on may not meet airline restrictions. [Travelpro]

Delsey has a possible size limitation for stricter airlines because this is the Carry-On Plus: the page says it is sized for overhead compartments on most domestic airlines, while the FAQ says the smaller Carry-On fits most international and U.S. airlines and the larger Carry-On Plus fits most U.S. airlines. [Delsey] Delsey also warns that size and weight restrictions vary by airline and tells shoppers to check the airline. [Delsey] BEIS has possible size limitations because its exterior dimensions are 22.8 in. H x 15.7 in. W x 9.8 in. D including wheels and handle, it expands by 2 inches, and the page tells shoppers to adhere to airline guidelines and check weight restrictions. [BEIS] INUSA has possible size limitations because its listed 20-inch size is 13.78 in. W x 8.66 in. D x 23.19 in. H, but the page says the dimensions do not include wheels and to add 2 inches to the height to determine overall height. [INUSA] INUSA does say it is suitable for most major airlines, but the wheel-excluded height makes it important to double-check the exact airline sizer. [INUSA]",11,15,11-15,"For minimizing gate-check risk, Monos has the strongest global airline-fit language, while Travelpro is the best-documented safer choice for major U.S. domestic airlines when unexpanded. [Monos] [Travelpro] For easy cleaning and long-term appearance, Travelpro is the strongest, with BEIS and INUSA also worth considering. [Travelpro] [BEIS] [INUSA] For sustainability or responsible materials, Delsey has the clearest claim, but even that evidence should be verified because the page does not give recycled-content specifics. [Delsey] For travel-day convenience, choose BEIS for the broadest practical extras or Travelpro if built-in phone-charging access matters most. [BEIS] [Travelpro]"
beis_2023vs2026_11.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\01_2023_2024_original_vs_2026_current\beis_2023vs2026_11.txt,one_product_current,BEIS,01_2023_2024_original_vs_2026_current,12,"Travelpro gives the strongest clean-and-good-looking evidence because it says the 100% polycarbonate shell is easy to clean, the textured finish helps reduce the visibility of scuffs or scratching, the shell flexes on impact to help prevent cracking, and aluminum corner armor protects high-impact areas. [Travelpro] Travelpro also includes an interior water-resistant pocket for damp items or toiletries. [Travelpro]

BEIS is also promising for easy care because the feature highlights list stain resistance, the care instructions say “Spot Clean,” and the interior includes an easy-to-clean lining. [BEIS] INUSA mentions a micro-diamond finish with water- and scratch-resistant qualities, along with hard-flex construction for strength and durability. [INUSA] Delsey mentions a textured basketweave polycarbonate shell, shock-absorbing corner protectors that safeguard against wear and tear, and an antimicrobial lining for odor control, but the provided text does not specifically say the shell is stain-resistant, scuff-resistant, scratch-resistant, water-resistant, or wipe-clean. [Delsey] Monos mentions an unbreakable aerospace-grade polycarbonate shell and premium materials, but the provided text does not mention stain resistance, scuff resistance, scratch resistance, water resistance, wipe-clean care, or a protective finish. [Monos]",11,15,11-15,"For minimizing gate-check risk, Monos has the strongest global airline-fit language, while Travelpro is the best-documented safer choice for major U.S. domestic airlines when unexpanded. [Monos] [Travelpro] For easy cleaning and long-term appearance, Travelpro is the strongest, with BEIS and INUSA also worth considering. [Travelpro] [BEIS] [INUSA] For sustainability or responsible materials, Delsey has the clearest claim, but even that evidence should be verified because the page does not give recycled-content specifics. [Delsey] For travel-day convenience, choose BEIS for the broadest practical extras or Travelpro if built-in phone-charging access matters most. [BEIS] [Travelpro]"
beis_2023vs2026_11.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\01_2023_2024_original_vs_2026_current\beis_2023vs2026_11.txt,one_product_current,BEIS,01_2023_2024_original_vs_2026_current,13,"Delsey provides the strongest sustainability-related evidence because its feature list says “Made with Recycled Materials,” and the same page also supports durability with 100% polycarbonate material, a SECURITECH zipper described as 3 times more resistant than a standard zipper, shock-absorbing corner protectors, and quality testing language. [Delsey] The evidence is still incomplete because the provided text does not say which parts are recycled, what percentage is recycled, or whether there is any certification. [Delsey]

Monos gives limited responsible-material information because it mentions vegan leather details, and it also supports durability with an unbreakable aerospace-grade polycarbonate shell, reverse-coil YKK zippers, and a limited lifetime warranty. [Monos] BEIS gives limited responsible-material information because its material list includes vegan leather trim, and it also describes a durable hard-shell exterior and polycarbonate body. [BEIS] The sustainability evidence for Monos and BEIS is weaker than Delsey because vegan leather trim or details are narrow material claims and the provided text does not give recycled content, sourcing details, certifications, or environmental impact information. [Monos] [BEIS] Travelpro and INUSA do not provide concrete sustainability-related information in the provided product-page text, though both describe durability-related materials or construction. [Travelpro] [INUSA]",11,15,11-15,"For minimizing gate-check risk, Monos has the strongest global airline-fit language, while Travelpro is the best-documented safer choice for major U.S. domestic airlines when unexpanded. [Monos] [Travelpro] For easy cleaning and long-term appearance, Travelpro is the strongest, with BEIS and INUSA also worth considering. [Travelpro] [BEIS] [INUSA] For sustainability or responsible materials, Delsey has the clearest claim, but even that evidence should be verified because the page does not give recycled-content specifics. [Delsey] For travel-day convenience, choose BEIS for the broadest practical extras or Travelpro if built-in phone-charging access matters most. [BEIS] [Travelpro]"
beis_2023vs2026_11.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\01_2023_2024_original_vs_2026_current\beis_2023vs2026_11.txt,one_product_current,BEIS,01_2023_2024_original_vs_2026_current,14,"BEIS seems the most broadly useful for travel-day convenience because it combines a built-in weight indicator, a retractable bag strap that can hold up to 15 lbs, 2 inches of expandable space, compression straps, a cushioned trolley handle, 360-degree wheels, a TSA lock, and separate pouches for dirty clothes, shoes, undergarments, and damp clothing. [BEIS] Travelpro is the best convenience pick if phone charging is the priority because it includes external USB-A and USB-C fast-charge ports plus a dedicated external-access battery pocket for FAA-compliant power-bank storage, although the power bank is not included. [Travelpro]

Delsey also offers helpful convenience features, including a USB port for charging on the move, a removable pouch, mesh zippered pockets, included laundry and shoe bags, dual-density double-spinner wheels, soft-grip handles, and a TSA-accepted lock. [Delsey] Monos offers useful packing and travel features such as a zipped panel, a compression pad, ballistic nylon straps, generously sized pockets, whisper-quiet wheels, and an integrated TSA-approved lock. [Monos] INUSA covers basic convenience with 360-degree silent spinner wheels, a built-in TSA-approved lock, top and side GEL handles, four side studs, and tie-down straps. [INUSA] None of the provided product-page texts mention dedicated tracking-device storage.",11,15,11-15,"For minimizing gate-check risk, Monos has the strongest global airline-fit language, while Travelpro is the best-documented safer choice for major U.S. domestic airlines when unexpanded. [Monos] [Travelpro] For easy cleaning and long-term appearance, Travelpro is the strongest, with BEIS and INUSA also worth considering. [Travelpro] [BEIS] [INUSA] For sustainability or responsible materials, Delsey has the clearest claim, but even that evidence should be verified because the page does not give recycled-content specifics. [Delsey] For travel-day convenience, choose BEIS for the broadest practical extras or Travelpro if built-in phone-charging access matters most. [BEIS] [Travelpro]"
beis_2023vs2026_11.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\01_2023_2024_original_vs_2026_current\beis_2023vs2026_11.txt,one_product_current,BEIS,01_2023_2024_original_vs_2026_current,15,"Travelpro has the strongest information quality overall because it gives overall and case dimensions, weight, volume, material, sizer-bin language, an expansion caveat, cleaning and scuff/scratch visibility details, charging details, wheel and handle details, and warranty or trial information. [Travelpro] Delsey is also strong because it gives exterior and interior dimensions, weight, volume, material, airline-fit cautions, warranty information, a FAQ explaining Carry-On versus Carry-On Plus fit, and detailed feature explanations. [Delsey] BEIS is fairly clear because it gives exterior and interior dimensions, weight, capacity, material, care instructions, warranty mention, and detailed convenience features, but shoppers should double-check airline fit when expanded and whether its 22.8 in. x 15.7 in. x 9.8 in. exterior size fits their strictest carrier. [BEIS]

INUSA provides useful basics such as material, weight, dimensions, wheel-exclusion guidance, lock, handles, zippers, and airline suitability language, but shoppers should double-check the true overall dimensions with wheels, warranty and return terms, capacity, and exact airline fit. [INUSA] Monos provides appealing claims about airline fit, materials, handle design, interior organization, warranty, and trial period, but the provided text leaves important purchase questions unanswered because it does not include exact dimensions, weight, volume, cleaning guidance, scuff or scratch resistance, or sustainability specifics. [Monos] Before purchase, a shopper should double-check each bag’s dimensions against the exact airline and fare rules they use most often, especially expanded dimensions for Travelpro and BEIS, the Carry-On Plus size for Delsey, INUSA’s height including wheels, and Monos’s exact measurements because they are not included in the provided text. [Travelpro] [BEIS] [Delsey] [INUSA] [Monos]",11,15,11-15,"For minimizing gate-check risk, Monos has the strongest global airline-fit language, while Travelpro is the best-documented safer choice for major U.S. domestic airlines when unexpanded. [Monos] [Travelpro] For easy cleaning and long-term appearance, Travelpro is the strongest, with BEIS and INUSA also worth considering. [Travelpro] [BEIS] [INUSA] For sustainability or responsible materials, Delsey has the clearest claim, but even that evidence should be verified because the page does not give recycled-content specifics. [Delsey] For travel-day convenience, choose BEIS for the broadest practical extras or Travelpro if built-in phone-charging access matters most. [BEIS] [Travelpro]"
