file_role,path,filename,detected_product,prompt_start_from_filename,included,reason
baseline_current_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\baseline_curr\baseline_1_curr.txt,baseline_1_curr.txt,,1,True,all-current 2026 baseline answer file from baseline_*_curr chunk
baseline_current_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\baseline_curr\baseline_6_curr.txt,baseline_6_curr.txt,,6,True,all-current 2026 baseline answer file from baseline_*_curr chunk
baseline_current_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\baseline_curr\baseline_11_curr.txt,baseline_11_curr.txt,,11,True,all-current 2026 baseline answer file from baseline_*_curr chunk
baseline_current_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\baseline_curr\baseline_16_curr.txt,baseline_16_curr.txt,,16,True,all-current 2026 baseline answer file from baseline_*_curr chunk
comparison03_geo_rewrite_replacement_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\beis_1.txt,beis_1.txt,BEIS,1,True,one-product GEO rewrite replacement file against all-current context
comparison03_geo_rewrite_replacement_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\beis_11.txt,beis_11.txt,BEIS,11,True,one-product GEO rewrite replacement file against all-current context
comparison03_geo_rewrite_replacement_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\beis_16.txt,beis_16.txt,BEIS,16,True,one-product GEO rewrite replacement file against all-current context
comparison03_geo_rewrite_replacement_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\beis_6.txt,beis_6.txt,BEIS,6,True,one-product GEO rewrite replacement file against all-current context
comparison03_geo_rewrite_replacement_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\delsey_1.txt,delsey_1.txt,Delsey,1,True,one-product GEO rewrite replacement file against all-current context
comparison03_geo_rewrite_replacement_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\delsey_11.txt,delsey_11.txt,Delsey,11,True,one-product GEO rewrite replacement file against all-current context
comparison03_geo_rewrite_replacement_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\delsey_16.txt,delsey_16.txt,Delsey,16,True,one-product GEO rewrite replacement file against all-current context
comparison03_geo_rewrite_replacement_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\delsey_6.txt,delsey_6.txt,Delsey,6,True,one-product GEO rewrite replacement file against all-current context
comparison03_geo_rewrite_replacement_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\inusa_1.txt,inusa_1.txt,INUSA,1,True,one-product GEO rewrite replacement file against all-current context
comparison03_geo_rewrite_replacement_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\inusa_11.txt,inusa_11.txt,INUSA,11,True,one-product GEO rewrite replacement file against all-current context
comparison03_geo_rewrite_replacement_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\inusa_16.txt,inusa_16.txt,INUSA,16,True,one-product GEO rewrite replacement file against all-current context
comparison03_geo_rewrite_replacement_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\inusa_6.txt,inusa_6.txt,INUSA,6,True,one-product GEO rewrite replacement file against all-current context
comparison03_geo_rewrite_replacement_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\monos_1.txt,monos_1.txt,Monos,1,True,one-product GEO rewrite replacement file against all-current context
comparison03_geo_rewrite_replacement_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\monos_11.txt,monos_11.txt,Monos,11,True,one-product GEO rewrite replacement file against all-current context
comparison03_geo_rewrite_replacement_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\monos_16.txt,monos_16.txt,Monos,16,True,one-product GEO rewrite replacement file against all-current context
comparison03_geo_rewrite_replacement_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\monos_6.txt,monos_6.txt,Monos,6,True,one-product GEO rewrite replacement file against all-current context
comparison03_geo_rewrite_replacement_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\travel_1.txt,travel_1.txt,Travelpro,1,True,one-product GEO rewrite replacement file against all-current context
comparison03_geo_rewrite_replacement_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\travel_11.txt,travel_11.txt,Travelpro,11,True,one-product GEO rewrite replacement file against all-current context
comparison03_geo_rewrite_replacement_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\travel_16.txt,travel_16.txt,Travelpro,16,True,one-product GEO rewrite replacement file against all-current context
comparison03_geo_rewrite_replacement_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\travel_6.txt,travel_6.txt,Travelpro,6,True,one-product GEO rewrite replacement file against all-current context
