comparison,mode,source_file,source_path,run_type,focal_geo_product,version_status_for_product,prompt_set_start,prompt_set_end,prompt_set_label,question_id,product,cited,ref_count,first_citation_index,first_citation_score,citation_position_proxy,citation_position_score,citation_share_of_voice,recommendation_rank_proxy,rank_score_proxy,top1_cited_flag,brand_mentioned,brand_mention_count,first_mention_index,first_mention_score,mention_share_of_voice,mention_position_proxy,mention_position_score,average_mention_position_proxy,top1_mentioned_flag,feature_categories,feature_count,feature_coverage,tfidf_product_answer_similarity,bigram_overlap_product_answer,pais_product_answer_influence_score,brand_context_sentiment_score,brand_context_positive_hits,brand_context_negative_hits,answer_word_count,citation_sequence,cited_answer_sentences,mentioned_answer_sentences
03_2026_current_vs_2023_2024_geo_rewrite,baseline,baseline_curr/baseline_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\baseline_curr\baseline_1.txt,baseline_all_current_2026,,current_2026,1,5,1-5,1,Away,1,2,1.0,1.0,1,1.0,0.6666666666666666,1,1.0,1,1,1,1.0,1.0,0.5,1,1.0,1,1,capacity_volume;dimensions;durability_protection;lock_security;material_shell;packing_organization;tradeoff_or_limitation;trip_length;weight;wheels_mobility,10,0.5263157894736842,0.15328810752248961,0.32098765432098764,0.5507355942140496,1.0,8,0,120,Away > Away > July,"[Away]
It also has a 41 L capacity, a durable lightweight 100% polycarbonate shell, a TSA-approved combination lock, smooth-gliding wheels, and an interior compression system that helps you pack and organize more. [Away]
July is a good alternative if you want a little more packing capacity because it is listed for 5-7 days, 6-8 outfits, 42 L, and includes a Y-Strap compression system, but it may be more suitcase than necessary for a shorter 3-5 day trip.","For a 3-5 day trip, I would recommend the Away Carry-On because its product page directly says it is generally best for 3-5 day trips and sized for about 5-7 full outfits."
03_2026_current_vs_2023_2024_geo_rewrite,baseline,baseline_curr/baseline_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\baseline_curr\baseline_1.txt,baseline_all_current_2026,,current_2026,1,5,1-5,1,BR,0,0,,0.0,6,0.0,0.0,6,0.0,0,0,0,,0.0,0.0,6,0.0,6,0,,0,0.0,0.0,0.0,0.0,0.0,0,0,120,Away > Away > July,,
03_2026_current_vs_2023_2024_geo_rewrite,baseline,baseline_curr/baseline_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\baseline_curr\baseline_1.txt,baseline_all_current_2026,,current_2026,1,5,1-5,1,Century,0,0,,0.0,6,0.0,0.0,6,0.0,0,0,0,,0.0,0.0,6,0.0,6,0,,0,0.0,0.0,0.0,0.0,0.0,0,0,120,Away > Away > July,,
03_2026_current_vs_2023_2024_geo_rewrite,baseline,baseline_curr/baseline_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\baseline_curr\baseline_1.txt,baseline_all_current_2026,,current_2026,1,5,1-5,1,July,1,1,3.0,0.3333333333333333,3,0.6,0.3333333333333333,2,0.8,0,1,1,2.0,0.5,0.5,2,0.8,2,0,,0,0.0,0.0858462518542441,0.0,0.16716925037084882,1.0,2,0,120,Away > Away > July,[July],"July is a good alternative if you want a little more packing capacity because it is listed for 5-7 days, 6-8 outfits, 42 L, and includes a Y-Strap compression system, but it may be more suitcase than necessary for a shorter 3-5 day trip."
03_2026_current_vs_2023_2024_geo_rewrite,baseline,baseline_curr/baseline_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\baseline_curr\baseline_1.txt,baseline_all_current_2026,,current_2026,1,5,1-5,1,Rimowa,0,0,,0.0,6,0.0,0.0,6,0.0,0,0,0,,0.0,0.0,6,0.0,6,0,,0,0.0,0.0,0.0,0.0,0.0,0,0,120,Away > Away > July,,
03_2026_current_vs_2023_2024_geo_rewrite,baseline,baseline_curr/baseline_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\baseline_curr\baseline_1.txt,baseline_all_current_2026,,current_2026,1,5,1-5,2,Away,1,1,4.0,0.25,4,0.4,0.25,3,0.6,0,1,1,6.0,0.16666666666666666,0.16666666666666666,3,0.6,3,0,,0,0.0,0.1025739058683091,0.0,0.15384811450699515,1.0,1,0,157,BR > BR > July > Away,[Away],"Away is another strong hardside choice because its handles, wheels, zippers, and shell are described as rigorously tested, including handle pulls, simulated city-block rolling, zipper cycles, and loaded drop testing at 10° F."
03_2026_current_vs_2023_2024_geo_rewrite,baseline,baseline_curr/baseline_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\baseline_curr\baseline_1.txt,baseline_all_current_2026,,current_2026,1,5,1-5,2,BR,1,2,1.0,1.0,1,1.0,0.5,1,1.0,1,1,4,1.0,1.0,0.6666666666666666,1,1.0,1,1,durability_protection;material_shell;overhead_bin_or_airline_fit;warranty_trial_return,4,0.21052631578947367,0.07402448944437197,0.2916666666666667,0.46732682771343587,1.0,7,0,157,BR > BR > July > Away,"[Briggs & Riley]
Its lifetime guarantee is especially confidence-building because the page says that if the bag is ever damaged, even by an airline, Briggs & Riley will repair it for life free of charge with no proof of purchase needed. [Briggs & Riley]
If you specifically prefer a hardside shell, July also looks strong because it uses aerospace-grade German polycarbonate, reinforced bumpers, YKK Japanese zippers, and anodised aluminium bumpers for extra protection on hard drops.","The Briggs & Riley Baseline Essential 22"" Carry-On Expandable Spinner seems strongest if durability and long-term protection matter most because it is made from premium ultra-durable ballistic nylon, has impact-resistant corner guards, self-repairing YKK zippers, and a TSA-accepted combination cable lock. Its lifetime guarantee is especially confidence-building because the page says that if the bag is ever damaged, even by an airline, Briggs & Riley will repair it for life free of charge with no proof of purchase needed."
03_2026_current_vs_2023_2024_geo_rewrite,baseline,baseline_curr/baseline_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\baseline_curr\baseline_1.txt,baseline_all_current_2026,,current_2026,1,5,1-5,2,Century,0,0,,0.0,6,0.0,0.0,6,0.0,0,0,0,,0.0,0.0,6,0.0,6,0,,0,0.0,0.0,0.0,0.0,0.0,0,0,157,BR > BR > July > Away,,
03_2026_current_vs_2023_2024_geo_rewrite,baseline,baseline_curr/baseline_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\baseline_curr\baseline_1.txt,baseline_all_current_2026,,current_2026,1,5,1-5,2,July,1,1,3.0,0.3333333333333333,3,0.6,0.25,2,0.8,0,1,1,5.0,0.2,0.16666666666666666,2,0.8,2,0,handle;lock_security;material_shell;wheels_mobility,4,0.21052631578947367,0.04357263428753232,0.0,0.20081979001540118,1.0,3,0,157,BR > BR > July > Away,"[July]
Away is another strong hardside choice because its handles, wheels, zippers, and shell are described as rigorously tested, including handle pulls, simulated city-block rolling, zipper cycles, and loaded drop testing at 10° F.","If you specifically prefer a hardside shell, July also looks strong because it uses aerospace-grade German polycarbonate, reinforced bumpers, YKK Japanese zippers, and anodised aluminium bumpers for extra protection on hard drops."
03_2026_current_vs_2023_2024_geo_rewrite,baseline,baseline_curr/baseline_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\baseline_curr\baseline_1.txt,baseline_all_current_2026,,current_2026,1,5,1-5,2,Rimowa,0,0,,0.0,6,0.0,0.0,6,0.0,0,0,0,,0.0,0.0,6,0.0,6,0,,0,0.0,0.0,0.0,0.0,0.0,0,0,157,BR > BR > July > Away,,
