source_file,source_path,run_type,focal_geo_product,comparison,filename_prompt_start,raw_question_id,question_id_was_shifted_from_filename,question_id,answer_text,prompt_set_start,prompt_set_end,prompt_set_label,overall_shopper_takeaway
03_2026_current_vs_2023_2024_geo_rewrite/beis_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\beis_1.txt,one_product_geo_rewrite_against_current,BEIS,03_2026_current_vs_2023_2024_geo_rewrite,1,1,False,1,"For a 3-5 day trip, I would recommend the Delsey CHATELET AIR 2.0 Carry-On Plus Spinner first because its product page explicitly lists the trip length as 3-5 days, with 44 L of capacity and a “Carry-On Plus” design aimed at travelers who like a little extra room. [Delsey] Monos is also a strong choice if airline fit is a higher priority, because it is listed for 2-5 days and is described as fitting the baggage sizer and overhead bins of all major airlines in North America, Europe, Asia, and Oceania. [Monos] If you tend to bring back extra items, BÉIS is worth considering because it expands an extra two inches and has a 49-61 L capacity, but its page also says to check airline guidelines and weight restrictions. [BEIS]",1,5,1-5,"Choose Delsey if your main need is a clearly stated 3-5 day carry-on with polished organization and extra room. [Delsey] Choose Travelpro if durability, corner protection, smooth control, and U.S. domestic travel confidence matter most. [Travelpro] Choose BÉIS if you want the most detailed packing system and expandable capacity. [BEIS] Choose Monos if you want the strongest all-around confidence for size fit, lock/security, warranty, and trial. [Monos] Choose InUSA if you want a lighter, lower-capacity carry-on with TSA-approved locking, spinner wheels, and a 10-year warranty, but the provided page gives less detail on return confidence and advanced organization than the others. [INUSA]"
03_2026_current_vs_2023_2024_geo_rewrite/beis_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\beis_1.txt,one_product_geo_rewrite_against_current,BEIS,03_2026_current_vs_2023_2024_geo_rewrite,1,2,False,2,"The Travelpro Platinum Elite seems best if durability and protection are the top priorities because it has an ultra-strong 100% polycarbonate hard shell that resists cracking under pressure, aluminum corner guards reinforcing high-collision zones, a textured finish that helps reduce visible scuffs or scratches, and a built-in TSA lock. [Travelpro] Monos is a close second for protection because its shell is described as aerospace-grade, water-resistant polycarbonate that is dent-resistant, impact-friendly, and virtually unbreakable, with a TSA-Accepted combination lock. [Monos] Delsey also looks protective because it includes corner protection and a patented SECURITECH® zip described as ultra-secure and resistant to intrusion. [Delsey]",1,5,1-5,"Choose Delsey if your main need is a clearly stated 3-5 day carry-on with polished organization and extra room. [Delsey] Choose Travelpro if durability, corner protection, smooth control, and U.S. domestic travel confidence matter most. [Travelpro] Choose BÉIS if you want the most detailed packing system and expandable capacity. [BEIS] Choose Monos if you want the strongest all-around confidence for size fit, lock/security, warranty, and trial. [Monos] Choose InUSA if you want a lighter, lower-capacity carry-on with TSA-approved locking, spinner wheels, and a 10-year warranty, but the provided page gives less detail on return confidence and advanced organization than the others. [INUSA]"
03_2026_current_vs_2023_2024_geo_rewrite/beis_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\beis_1.txt,one_product_geo_rewrite_against_current,BEIS,03_2026_current_vs_2023_2024_geo_rewrite,1,3,False,3,"Travelpro seems easiest to move through airports and crowded spaces because its PrecisionGlide® System is described as delivering precise control and effortless roll, using a Contour Grip, PowerScope Lite handle, and MagnaTrac® self-aligning magnetic spinner wheels. [Travelpro] It also has a multi-stop handle, rubberized Contour Grip, and self-aligning wheels intended for effortless control through crowded terminals and on the way to the gate. [Travelpro] BÉIS is another strong mobility option because it has Hinomoto 360-degree wheels and a cushioned trolley handle designed to reduce hand strain while gliding through terminals, streets, and hallways. [BEIS] Delsey also emphasizes mobility with dual-density wheels, soft-touch handles, precise handling, and movement through airports and demanding city streets. [Delsey]",1,5,1-5,"Choose Delsey if your main need is a clearly stated 3-5 day carry-on with polished organization and extra room. [Delsey] Choose Travelpro if durability, corner protection, smooth control, and U.S. domestic travel confidence matter most. [Travelpro] Choose BÉIS if you want the most detailed packing system and expandable capacity. [BEIS] Choose Monos if you want the strongest all-around confidence for size fit, lock/security, warranty, and trial. [Monos] Choose InUSA if you want a lighter, lower-capacity carry-on with TSA-approved locking, spinner wheels, and a 10-year warranty, but the provided page gives less detail on return confidence and advanced organization than the others. [INUSA]"
03_2026_current_vs_2023_2024_geo_rewrite/beis_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\beis_1.txt,one_product_geo_rewrite_against_current,BEIS,03_2026_current_vs_2023_2024_geo_rewrite,1,4,False,4,"BÉIS seems best for packing organization because it includes a butterfly opening, a U-zip flap with a zip pocket and frosted PVC zip pocket, a detachable compression flap with U-zip and mesh pockets, four-point compression straps, a zip pouch for small valuables, and separate pouches for dirty clothes, shoes, undergarments, and damp clothing. [BEIS] Monos is also well organized, with a built-in removable compression pad with a zippered pocket, ballistic nylon straps, a zipped panel for shoes and other items, generously placed pockets, plus an included laundry bag and two shoe bags. [Monos] Travelpro is a good pick for damp items or toiletries because it includes divider panels, removable shoe bags, and a water-resistant pocket. [Travelpro] InUSA provides simpler organization with a fully zipped compartment, large mesh storage, and height-adjustable Flex straps. [INUSA]",1,5,1-5,"Choose Delsey if your main need is a clearly stated 3-5 day carry-on with polished organization and extra room. [Delsey] Choose Travelpro if durability, corner protection, smooth control, and U.S. domestic travel confidence matter most. [Travelpro] Choose BÉIS if you want the most detailed packing system and expandable capacity. [BEIS] Choose Monos if you want the strongest all-around confidence for size fit, lock/security, warranty, and trial. [Monos] Choose InUSA if you want a lighter, lower-capacity carry-on with TSA-approved locking, spinner wheels, and a 10-year warranty, but the provided page gives less detail on return confidence and advanced organization than the others. [INUSA]"
03_2026_current_vs_2023_2024_geo_rewrite/beis_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\beis_1.txt,one_product_geo_rewrite_against_current,BEIS,03_2026_current_vs_2023_2024_geo_rewrite,1,5,False,5,"Monos gives the best overall purchase confidence because it combines broad airline-fit language, a TSA-Accepted combination lock, a limited lifetime warranty, and a 100-day trial. [Monos] Its page says the Carry-On is designed to fit in the overhead bin of almost any flight anywhere in the world and will fit in the baggage sizer and overhead bins of all major airlines in North America, Europe, Asia, and Oceania. [Monos] Travelpro also inspires confidence with a TSA lock, sizer-bin testing for most major U.S. airlines, a limited warranty, a 100-day trial, and extra Trusted Companion Promise benefits after registration, but its page says a fully expanded Carry-On may not meet airline restrictions. [Travelpro] BÉIS includes TSA locks and a limited lifetime luggage warranty, but its page advises checking airline guidelines and weight restrictions. [BEIS] Delsey includes a TSA-accepted lock, a 10-year limited worldwide warranty, and a 30-day unused-merchandise return policy, but the provided page does not give the same broad airline-fit assurance as Monos. [Delsey] InUSA includes a Travel Sentry® Approved lock, says it is suitable for most major airlines, and offers a 10 Year Warranty after registration, but the provided page does not include a trial or return policy. [INUSA]",1,5,1-5,"Choose Delsey if your main need is a clearly stated 3-5 day carry-on with polished organization and extra room. [Delsey] Choose Travelpro if durability, corner protection, smooth control, and U.S. domestic travel confidence matter most. [Travelpro] Choose BÉIS if you want the most detailed packing system and expandable capacity. [BEIS] Choose Monos if you want the strongest all-around confidence for size fit, lock/security, warranty, and trial. [Monos] Choose InUSA if you want a lighter, lower-capacity carry-on with TSA-approved locking, spinner wheels, and a 10-year warranty, but the provided page gives less detail on return confidence and advanced organization than the others. [INUSA]"
03_2026_current_vs_2023_2024_geo_rewrite/beis_11.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\beis_11.txt,one_product_geo_rewrite_against_current,BEIS,03_2026_current_vs_2023_2024_geo_rewrite,11,11,False,11,"The safest option for stricter carry-on rules appears to be Monos, because its Carry-On measures 22 in. x 14 in. x 9 in. including wheels and fixed handles, and the page says it will fit in the baggage sizer and overhead bins of all major airlines in North America, Europe, Asia, and Oceania. [Monos] Travelpro also has useful fit evidence for U.S. travel because the page says it was sizer-bin tested to accommodate overhead-bin space on most major U.S. airlines and is sized to fit on most domestic flights. [Travelpro] However, Travelpro has a possible limitation because its overall dimensions are 23 in. x 14.5 in. x 9.5 in., and the page warns that the fully expanded Carry-On may not meet airline restrictions. [Travelpro] INUSA may be a reasonable lower-risk option for many mainstream airlines because the page says it is designed to be accepted by most airlines onboard and is suitable for most major airlines, but its exterior height is listed as 23.19 in., so shoppers flying stricter airlines should double-check the exact sizer limits. [INUSA] BEIS has possible size limitations for stricter airlines because it measures 58 cm x 40 cm x 25 cm including wheels and handle, expands to 12 in. deep, and the page tells shoppers to adhere to airline guidelines and check airline weight-limit restrictions. [BEIS] Delsey also has possible size limitations because the Carry-On Plus is aimed at overpackers who want extra room and measures 22.75 in. x 15 in. x 10 in.; the product text does not provide an overhead-bin, airline-sizer, or airline-fit claim. [Delsey]",11,15,11-15,"For strict airline-fit confidence, Monos looks safest, with Travelpro close behind for most major U.S. airlines if used unexpanded. [Monos] [Travelpro] For cleanability and keeping the bag looking good, Monos and Travelpro provide the strongest evidence, while BEIS and INUSA also make useful stain, water, or scratch-resistance claims. [Monos] [Travelpro] [BEIS] [INUSA] For sustainability plus durability, Monos has the strongest evidence, Travelpro has concrete recycled-lining evidence, Delsey has a less-specific recycled-materials claim, and BEIS and INUSA provide little or no concrete sustainability detail in the supplied text. [Monos] [Travelpro] [Delsey] [BEIS] [INUSA] For travel-day convenience, Travelpro is the most feature-rich overall, while BEIS is especially helpful for avoiding overpacking and attaching another bag. [Travelpro] [BEIS]"
03_2026_current_vs_2023_2024_geo_rewrite/beis_11.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\beis_11.txt,one_product_geo_rewrite_against_current,BEIS,03_2026_current_vs_2023_2024_geo_rewrite,11,12,False,12,"Monos gives the clearest cleaning and appearance-care information: it has a water-resistant polycarbonate hard shell, is described as dent-resistant, impact-friendly, and virtually unbreakable, and the page says to wipe it clean with a damp cloth, warm water, and mild soap, with an included eco-friendly eraser for persistent marks and optional luggage covers to guard against dirt and scuffs. [Monos] Travelpro is also strong for repeated trips because its textured polycarbonate finish helps reduce the visibility of scuffs or scratching, its shell resists cracking under pressure, its aluminum corner guards reinforce high-collision zones, its ECOFAB lining wipes clean, and it includes a water-resistant pocket. [Travelpro] BEIS mentions several useful care and protection details, including spot-clean care, an easy-to-spot-clean polyester lining, water-resistant zipper tape, and a “Stain Resistant” feature callout. [BEIS] INUSA mentions an impact-resistant design and a lightweight PC/ABS material with a micro-diamond finish that is water-resistant and scratch-resistant. [INUSA] Delsey mentions 100% polycarbonate, corner protection, a resistant SECURITECH zip, and durable, resistant design language, but the provided page text does not give specific wipe-clean, stain-resistance, scuff-resistance, scratch-resistance, or water-resistance claims for the shell or lining. [Delsey]",11,15,11-15,"For strict airline-fit confidence, Monos looks safest, with Travelpro close behind for most major U.S. airlines if used unexpanded. [Monos] [Travelpro] For cleanability and keeping the bag looking good, Monos and Travelpro provide the strongest evidence, while BEIS and INUSA also make useful stain, water, or scratch-resistance claims. [Monos] [Travelpro] [BEIS] [INUSA] For sustainability plus durability, Monos has the strongest evidence, Travelpro has concrete recycled-lining evidence, Delsey has a less-specific recycled-materials claim, and BEIS and INUSA provide little or no concrete sustainability detail in the supplied text. [Monos] [Travelpro] [Delsey] [BEIS] [INUSA] For travel-day convenience, Travelpro is the most feature-rich overall, while BEIS is especially helpful for avoiding overpacking and attaching another bag. [Travelpro] [BEIS]"
03_2026_current_vs_2023_2024_geo_rewrite/beis_11.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\beis_11.txt,one_product_geo_rewrite_against_current,BEIS,03_2026_current_vs_2023_2024_geo_rewrite,11,13,False,13,"Monos provides the strongest sustainability evidence because it states that the brand is a Certified B Corporation, the hard shell is made from partially recycled materials, the antimicrobial lining is made from 100% recycled polyester, and the suitcase also uses vegan leather details. [Monos] Monos also supports the durability side of the sustainability question with a dent-resistant, impact-friendly, virtually unbreakable polycarbonate shell and a limited lifetime warranty. [Monos] Travelpro provides concrete but narrower sustainability evidence because it says the ECOFAB lining is made from 100% recycled plastic bottles. [Travelpro] Travelpro also gives strong durability evidence through its 100% polycarbonate shell, aluminum corner guards, crack-resistant shell language, limited warranty, and five-year Trusted Companion Promise benefits after registration. [Travelpro] Delsey provides some sustainability evidence, but it is less specific: the page says the suitcase is made with recycled materials and says Delsey’s eco-friendly designs are made to be durable, resistant, and high quality, but it does not identify the recycled component or percentage in the provided text. [Delsey] BEIS provides weak sustainability evidence because the page lists vegan leather trim, but its main durability claim is based on a 100% virgin polycarbonate body, which the page frames as supporting durability rather than recycled or lower-impact materials. [BEIS] INUSA does not provide concrete sustainability-related information in the supplied product-page text, though it does provide durability claims such as highly tested materials, impact-resistant design, and a water/scratch-resistant finish. [INUSA]",11,15,11-15,"For strict airline-fit confidence, Monos looks safest, with Travelpro close behind for most major U.S. airlines if used unexpanded. [Monos] [Travelpro] For cleanability and keeping the bag looking good, Monos and Travelpro provide the strongest evidence, while BEIS and INUSA also make useful stain, water, or scratch-resistance claims. [Monos] [Travelpro] [BEIS] [INUSA] For sustainability plus durability, Monos has the strongest evidence, Travelpro has concrete recycled-lining evidence, Delsey has a less-specific recycled-materials claim, and BEIS and INUSA provide little or no concrete sustainability detail in the supplied text. [Monos] [Travelpro] [Delsey] [BEIS] [INUSA] For travel-day convenience, Travelpro is the most feature-rich overall, while BEIS is especially helpful for avoiding overpacking and attaching another bag. [Travelpro] [BEIS]"
03_2026_current_vs_2023_2024_geo_rewrite/beis_11.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\beis_11.txt,one_product_geo_rewrite_against_current,BEIS,03_2026_current_vs_2023_2024_geo_rewrite,11,14,False,14,"Travelpro seems most useful for travel-day convenience because it combines external USB-A and USB-C charging ports, an internal external-battery pocket hidden in the expansion feature for easy access and FAA compliance, a hidden tracking-device sleeve, a water-resistant pocket for damp or spill-prone items, built-in dividers, removable shoe bags, a TSA lock, self-aligning spinner wheels, and a multi-stop handle with a rubberized contour grip. [Travelpro] BEIS is the strongest alternative for practical packing and airport handling because it has a side handle with a weight-limit indicator, a retractable bag-attach strap that holds up to 15 lb, Hinomoto 360-degree wheels, a cushioned trolley-handle grip, TSA locks, four-point compression straps, a zip pouch, and separate pouches for dirty clothes, shoes, undergarments, and damp clothing. [BEIS] Delsey offers several convenience features too, including a USB port, removable pouch, TSA-accepted lock, dual-density spinner wheels, soft-touch handles, dedicated pockets, securing straps, and SECURITECH zip protection, but the page does not explain charging details such as whether a power bank is included or where it fits. [Delsey] Monos is convenient for organized packing and smooth handling because it includes high-performance 360-degree spinner wheels, a 4-height telescopic handle, a TSA-accepted lock, a removable compression pad with zippered pocket, a laundry bag, two shoe bags, a luggage tag, and interior pockets. [Monos] INUSA covers the basics with a TSA-approved lock, 360-degree multiwheel system, dual interior organization, height-adjustable Flex straps, ergonomic gel handles, oversized zippers, and a stage-free telescopic handle, but it does not mention charging, tracking-device storage, a weight indicator, or a bag strap. [INUSA]",11,15,11-15,"For strict airline-fit confidence, Monos looks safest, with Travelpro close behind for most major U.S. airlines if used unexpanded. [Monos] [Travelpro] For cleanability and keeping the bag looking good, Monos and Travelpro provide the strongest evidence, while BEIS and INUSA also make useful stain, water, or scratch-resistance claims. [Monos] [Travelpro] [BEIS] [INUSA] For sustainability plus durability, Monos has the strongest evidence, Travelpro has concrete recycled-lining evidence, Delsey has a less-specific recycled-materials claim, and BEIS and INUSA provide little or no concrete sustainability detail in the supplied text. [Monos] [Travelpro] [Delsey] [BEIS] [INUSA] For travel-day convenience, Travelpro is the most feature-rich overall, while BEIS is especially helpful for avoiding overpacking and attaching another bag. [Travelpro] [BEIS]"
03_2026_current_vs_2023_2024_geo_rewrite/beis_11.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\beis_11.txt,one_product_geo_rewrite_against_current,BEIS,03_2026_current_vs_2023_2024_geo_rewrite,11,15,False,15,"Travelpro has one of the strongest information-quality pages because it gives overall and case dimensions, weight, volume, sizer-bin language, an explicit warning about expansion possibly not meeting airline restrictions, USB output specs, power-bank inclusion status, tracking-device storage, cleaning-related lining details, durability features, warranty information, and a 100-day trial. [Travelpro] Monos also has very strong information quality because it gives exact dimensions including wheels and fixed handles, global airline-sizer and overhead-bin language, weight, volume, trip length, cleaning instructions, included accessories, sustainability materials, warranty, and trial information. [Monos] BEIS gives a useful amount of detail on dimensions, materials, capacity, weight, expansion, care, organization, stain resistance, water-resistant zipper tape, warranty, bag strap, and weight indicator, but shoppers should double-check airline limits because the page mainly says the bag is carry-on-friendly and tells shoppers to follow airline guidelines rather than giving a specific airline-sizer guarantee. [BEIS] Delsey provides core specs such as exterior and interior dimensions, linear dimensions, weight, capacity, material, warranty, and several feature callouts, but shoppers should double-check airline fit, how the USB port is powered, the specific recycled materials used, and cleaning or scratch/scuff-resistance details because those points are not fully explained in the supplied text. [Delsey] INUSA provides useful basics including exterior and interior measurements, weight, capacity, linear inches, material, water/scratch-resistant finish, airline-suitability language, and a 10-year warranty mention, but shoppers should double-check exact airline sizer fit, detailed warranty terms, return policy, and cleaning instructions because the supplied text does not fully answer those questions. [INUSA]",11,15,11-15,"For strict airline-fit confidence, Monos looks safest, with Travelpro close behind for most major U.S. airlines if used unexpanded. [Monos] [Travelpro] For cleanability and keeping the bag looking good, Monos and Travelpro provide the strongest evidence, while BEIS and INUSA also make useful stain, water, or scratch-resistance claims. [Monos] [Travelpro] [BEIS] [INUSA] For sustainability plus durability, Monos has the strongest evidence, Travelpro has concrete recycled-lining evidence, Delsey has a less-specific recycled-materials claim, and BEIS and INUSA provide little or no concrete sustainability detail in the supplied text. [Monos] [Travelpro] [Delsey] [BEIS] [INUSA] For travel-day convenience, Travelpro is the most feature-rich overall, while BEIS is especially helpful for avoiding overpacking and attaching another bag. [Travelpro] [BEIS]"
