#,Priority Level,Paper Title,Authors,Year,Venue / Status,Institution / Affiliation,Topic Category,Code / GitHub Available?,Dataset Available?,Paper Link,GitHub Link,Dataset Link,Notes
1,A,GEO: Generative Engine Optimization,Pranjal Aggarwal; Vishvak Murahari; Tanmay Rajpurohit; Ashwin Kalyan; Karthik Narasimhan; Ameet Deshpande,2024,KDD 2024 / arXiv 2023 preprint,IIT Delhi; Princeton University; Georgia Tech; Allen Institute for AI (need PDF verification),Core GEO / AI Visibility,Yes / project page available,Yes / GEO-Bench mentioned,https://dl.acm.org/doi/10.1145/3637528.3671900; https://arxiv.org/abs/2311.09735,https://generative-engines.com/,https://generative-engines.com/,Foundational GEO paper. Defines GEO and GEO-Bench; directly relevant to AI search visibility and content optimization.
2,A,SAGEO Arena: A Realistic Environment for Evaluating Search-Augmented Generative Engine Optimization,Sunghwan Kim; Wooseok Jeong; Serin Kim; Sangam Lee; Dongha Lee,2026,arXiv 2026 preprint,Need to verify from PDF,SAGEO / AI Search Optimization / Structured Web Content,Not confirmed,Benchmark/environment proposed; public availability need to verify,https://arxiv.org/abs/2602.12187,Not confirmed,Not confirmed,"Strong fit because it evaluates GEO in a realistic search-augmented pipeline with retrieval, reranking, generation, and structural web information."
3,A,From Citation Selection to Citation Absorption: A Measurement Framework for Generative Engine Optimization Across AI Search Platforms,Zhang Kai; He Xinyue; Yao Jingang,2026,arXiv 2026 preprint,Need to verify from PDF,AI Visibility / Citation Probability / Measurement Framework,Not confirmed,Yes / geo-citation-lab dataset mentioned; exact access need to verify,https://arxiv.org/abs/2604.25707,Not confirmed,Need to verify,"Very relevant because it separates citation selection from citation absorption across ChatGPT, Google AI Overview/Gemini, and Perplexity."
4,A,Think Before Writing: Feature-Level Multi-Objective Optimization for Generative Citation Visibility,Zikang Liu; Peilan Xu,2026,arXiv 2026 preprint,Need to verify from PDF,GEO / Citation Visibility / Feature-Level Optimization,Yes,Uses GEO-Bench; exact dataset access need to verify,https://arxiv.org/abs/2604.19113,https://github.com/EvoNexusX/2026LiuFeatGEO.git,Need to verify,"Useful for website adaptation variables because it optimizes structural, content, and linguistic webpage features."
5,A,AgenticGEO: A Self-Evolving Agentic System for Generative Engine Optimization,Jiaqi Yuan; Jialu Wang; Zihan Wang; Qingyun Sun; Ruijie Wang; Jianxin Li,2026,arXiv 2026 preprint,Need to verify from PDF,Agentic GEO / Black-box Optimization / AI Visibility,Yes,Uses 3 datasets; exact public data status need to verify,https://arxiv.org/abs/2603.20213,https://github.com/AIcling/agentic_geo,Need to verify,Good for automated/agentic GEO strategies; code/model availability is stated in the abstract.
6,A,Structural Feature Engineering for Generative Engine Optimization: How Content Structure Shapes Citation Behavior,Junwei Yu; Mufeng Yang; Yepeng Ding; Hiroyuki Sato,2026,arXiv 2026 preprint,Need to verify from PDF,Structured Content / Schema / Citation Behavior,Not confirmed,Not confirmed,https://arxiv.org/abs/2603.29979,Not confirmed,Not confirmed,"Directly relevant to the structured-content/schema angle; studies document architecture, information chunking, and visual emphasis."
7,A,EcoGEO: Trajectory-Aware Evidence Ecosystems for Web-Enabled LLM Search Agents,Hengwei Ye; Jiasheng Mao; Zhenhan Guan; Zheng Tian,2026,arXiv 2026 preprint; SIGIR 2026 Short status need verification,Need to verify from PDF,Agentic Search / Evidence Ecosystems / Product Recommendation,Not confirmed,Uses OPR-Bench; availability need to verify,https://arxiv.org/abs/2605.12887,Not confirmed,Need to verify,Important because it shifts GEO from individual pages to linked evidence ecosystems and web-agent browsing trajectories.
8,A,What Generative Search Engines Like and How to Optimize Web Content Cooperatively / AutoGEO,Yujiang Wu; Shanshan Zhong; Yubin Kim; Chenyan Xiong,2025,arXiv 2025 preprint; OpenReview/ICLR status need verification,Need to verify from PDF/OpenReview,GEO / Generative Search Preferences / Content Rewriting,Yes,Uses GEO-Bench and two newly constructed benchmarks; public data status need to verify,https://arxiv.org/abs/2510.11438; https://openreview.net/forum?id=K8EinVWtUB,https://github.com/cxcscmu/AutoGEO,Need to verify,Strong paper for learning what generative search engines prefer and converting those preferences into content rewriting rules.
9,A,E-GEO: A Testbed for Generative Engine Optimization in E-Commerce,Puneet S. Bagga; Vivek F. Farias; Tamar Korkotashvili; Tianyi Peng; Yuhang Wu,2025,arXiv 2025 preprint,Need to verify from PDF,E-Commerce GEO / Product Visibility / Benchmark,Yes,Yes / data and code publicly available in repo according to abstract,https://arxiv.org/abs/2511.20867,https://github.com/psbagga17/E-GEO,https://github.com/psbagga17/E-GEO,Very relevant to finance/econ because it studies GEO in e-commerce with realistic consumer product queries and product listings.
10,A,"How Generative AI Disrupts Search: An Empirical Study of Google Search, Gemini, and AI Overviews",Riley Grossman; Songjiang Liu; Michael K. Chen; Mike Smith; Cristian Borcea; Yi Chen,2026,arXiv 2026 preprint,Need to verify from PDF,AI Search vs Traditional Search / Google AI Overviews / Visibility Measurement,Not confirmed,Yes / public benchmark dataset mentioned; exact access need to verify,https://arxiv.org/abs/2604.27790,Not confirmed,Need to verify,"Excellent fit for comparing traditional Google Search, Gemini, and AI Overviews; measures source differences and website visibility disruption."
11,A,"Measuring Google AI Overviews: Activation, Source Quality, Claim Fidelity, and Publisher Impact",Haofei Xu; Umar Iqbal; Jacob M. Montgomery,2026,arXiv 2026 preprint,Need to verify from PDF,Google AI Overviews / AI Search Measurement / Publisher Impact,Not confirmed,Dataset from trending-query measurement; public availability need to verify,https://arxiv.org/abs/2605.14021,Not confirmed,Not confirmed,"Strong fit for measuring AIO activation, source quality, claim support, and publisher/firm exposure."
