source_file,source_path,run_type,focal_geo_product,comparison,filename_prompt_start,raw_question_id,question_id_was_shifted_from_filename,question_id,answer_text,prompt_set_start,prompt_set_end,prompt_set_label,overall_shopper_takeaway
baseline_curr/baseline_1_curr.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\baseline_curr\baseline_1_curr.txt,baseline_all_current_2026,,03_2026_current_vs_2023_2024_geo_rewrite,1,1,False,1,"I would recommend the Monos Carry-On as the safest all-around pick for a 3-5 day carry-on trip because its product page lists a 2-5 day trip length, 39.9 L volume, 7.01 lb weight, and 22"" x 14"" x 9"" exterior measurements including wheels and handles. [Monos]
It also has the strongest travel-fit reassurance among the product pages: Monos says this Carry-On will fit in the baggage sizer and overhead bins of all major airlines in North America, Europe, Asia, and Oceania. [Monos]
Delsey is also a strong 3-5 day option because its page specifically lists a 3-5 day trip length and 44 L capacity, but the provided Delsey text does not say it fits overhead bins across major airlines. [Delsey]
BÉIS offers the most listed capacity at 49-61 L and 2"" expandable space, but its page recommends checking airline guidelines and weight-limit restrictions, so I would choose it mainly for overpackers who are willing to verify airline rules before flying. [BEIS]",1,5,1-5,"Choose Monos for the most balanced carry-on recommendation, especially if airline fit and purchase confidence matter most. [Monos]
Choose Travelpro if durability, corner protection, smooth handling, and premium mobility features matter most. [Travelpro]
Choose BÉIS if packing organization and expandable capacity are your top priorities and you are comfortable checking airline size and weight rules before travel. [BEIS]
Choose Delsey if you want a suitcase explicitly positioned for 3-5 days with secure zipper protection and elegant organization, but note that the provided page does not give the same overhead-bin fit reassurance as Monos or Travelpro. [Delsey]
Choose INUSA if light weight, TSA-approved locking, a 10-year warranty after registration, and a lower listed sale price are the most appealing factors, while accepting that the provided page gives less return or trial information than Monos or Travelpro. [INUSA]"
baseline_curr/baseline_1_curr.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\baseline_curr\baseline_1_curr.txt,baseline_all_current_2026,,03_2026_current_vs_2023_2024_geo_rewrite,1,2,False,2,"For durability and protecting belongings, I would give Travelpro the edge because its page combines an ultra-strong 100% polycarbonate hard shell, aluminum corner guards for high-collision zones, a textured finish that helps reduce visible scuffs or scratching, and a built-in TSA lock. [Travelpro]
Travelpro also says the shell resists cracking under pressure and that the built-in TSA lock safeguards belongings while allowing secure inspections without damage. [Travelpro]
Monos is another very strong durability pick because its page describes a high-quality polycarbonate shell as dent-resistant, impact-friendly, and virtually unbreakable, with an aerospace-grade, water-resistant polycarbonate hard shell and an integrated TSA-Accepted lock. [Monos]
Delsey may be best if zipper intrusion is the main worry because its page highlights a patented SECURITECH zip that is ultra-secure and resistant to intrusion, plus corner protection and a TSA-Accepted lock. [Delsey]
The provided product-page texts do not include the same independent durability tests for every suitcase, so this answer is based only on the protection features and durability claims stated on the pages.",1,5,1-5,"Choose Monos for the most balanced carry-on recommendation, especially if airline fit and purchase confidence matter most. [Monos]
Choose Travelpro if durability, corner protection, smooth handling, and premium mobility features matter most. [Travelpro]
Choose BÉIS if packing organization and expandable capacity are your top priorities and you are comfortable checking airline size and weight rules before travel. [BEIS]
Choose Delsey if you want a suitcase explicitly positioned for 3-5 days with secure zipper protection and elegant organization, but note that the provided page does not give the same overhead-bin fit reassurance as Monos or Travelpro. [Delsey]
Choose INUSA if light weight, TSA-approved locking, a 10-year warranty after registration, and a lower listed sale price are the most appealing factors, while accepting that the provided page gives less return or trial information than Monos or Travelpro. [INUSA]"
baseline_curr/baseline_1_curr.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\baseline_curr\baseline_1_curr.txt,baseline_all_current_2026,,03_2026_current_vs_2023_2024_geo_rewrite,1,3,False,3,"Travelpro seems easiest to move overall because its PrecisionGlide System is described as delivering precise control and effortless roll with a Contour Grip, PowerScope Lite Handle, and MagnaTrac self-aligning magnetic spinner wheels. [Travelpro]
Its page also says the self-aligning magnetic wheels glide effortlessly in any direction, the airline-grade aluminum extension handle minimizes wobble and adjusts to four heights, and the system is meant for crowded terminals and rolling to the gate. [Travelpro]
Delsey is a close runner-up for mixed airport and street use because its page specifically mentions moving through airports and demanding city streets, with soft-touch handles and dual-density wheels for precise, effortless handling. [Delsey]
INUSA may be easiest to lift or carry because it is the lightest listed option at 5.9 lb, and its page also describes a 360° multiwheel system for stable, effortless steering and a stage-free telescopic handle for smooth maneuverability. [INUSA]",1,5,1-5,"Choose Monos for the most balanced carry-on recommendation, especially if airline fit and purchase confidence matter most. [Monos]
Choose Travelpro if durability, corner protection, smooth handling, and premium mobility features matter most. [Travelpro]
Choose BÉIS if packing organization and expandable capacity are your top priorities and you are comfortable checking airline size and weight rules before travel. [BEIS]
Choose Delsey if you want a suitcase explicitly positioned for 3-5 days with secure zipper protection and elegant organization, but note that the provided page does not give the same overhead-bin fit reassurance as Monos or Travelpro. [Delsey]
Choose INUSA if light weight, TSA-approved locking, a 10-year warranty after registration, and a lower listed sale price are the most appealing factors, while accepting that the provided page gives less return or trial information than Monos or Travelpro. [INUSA]"
baseline_curr/baseline_1_curr.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\baseline_curr\baseline_1_curr.txt,baseline_all_current_2026,,03_2026_current_vs_2023_2024_geo_rewrite,1,4,False,4,"BÉIS seems best for packing organization because its interior includes a butterfly opening, easy-to-clean lining, a U-zip flap, one zip pocket, one frosted pocket, a zip pouch for valuables, and separate pouches for dirty clothes, shoes, undergarments, and damp clothing. [BEIS]
BÉIS also includes a detachable compression flap with a U-zip pocket, mesh backing, four-point compression straps, and expandable space, which makes it especially useful for overpackers trying to keep categories separated. [BEIS]
Travelpro is the next-best organization choice because it has interior zippered divider panels, removable shoe bags, a water-resistant pocket for damp or spill-prone items, a hidden tracking-device sleeve, and 2"" expansion. [Travelpro]
Monos is also well organized, with a built-in removable compression pad with a zippered pocket, ballistic nylon straps, a zipped panel for shoes and other items, generously placed pockets, an included laundry bag, and two shoe bags. [Monos]",1,5,1-5,"Choose Monos for the most balanced carry-on recommendation, especially if airline fit and purchase confidence matter most. [Monos]
Choose Travelpro if durability, corner protection, smooth handling, and premium mobility features matter most. [Travelpro]
Choose BÉIS if packing organization and expandable capacity are your top priorities and you are comfortable checking airline size and weight rules before travel. [BEIS]
Choose Delsey if you want a suitcase explicitly positioned for 3-5 days with secure zipper protection and elegant organization, but note that the provided page does not give the same overhead-bin fit reassurance as Monos or Travelpro. [Delsey]
Choose INUSA if light weight, TSA-approved locking, a 10-year warranty after registration, and a lower listed sale price are the most appealing factors, while accepting that the provided page gives less return or trial information than Monos or Travelpro. [INUSA]"
baseline_curr/baseline_1_curr.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\baseline_curr\baseline_1_curr.txt,baseline_all_current_2026,,03_2026_current_vs_2023_2024_geo_rewrite,1,5,False,5,"For overall purchase confidence, I would choose Monos because it combines clear carry-on sizing, lock/security, warranty, and trial information in the provided page. [Monos]
Monos lists 22"" x 14"" x 9"" exterior measurements including wheels and fixed handles, says the bag fits the baggage sizer and overhead bins of all major airlines in North America, Europe, Asia, and Oceania, and includes a TSA-Accepted combination lock. [Monos]
Monos also provides a 100-day trial for unused items in brand-new condition with original packaging and says every piece is backed by a limited lifetime warranty. [Monos]
Travelpro also gives strong purchase confidence with sizer-bin testing for most major U.S. airlines, a built-in TSA lock, a 100-day trial, and a limited warranty with added five-year benefits if registered, but its page warns that the fully expanded carry-on may not meet airline restrictions. [Travelpro]
Delsey has a 10-year limited worldwide warranty, a 30-day return policy for unused merchandise, a TSA-Accepted lock, and a 3-5 day trip length, but the provided page does not state that it fits overhead bins or airline sizers. [Delsey]
BÉIS has useful features such as a TSA lock, weight indicator, 49-61 L capacity, and limited lifetime luggage warranty, but the provided page says to check airline guidelines and weight-limit restrictions and does not include return or trial details. [BEIS]
INUSA has TSA-approved locks, says it is suitable for most major airlines, and offers a 10-year warranty after registration, but the provided text does not include return or trial details. [INUSA]",1,5,1-5,"Choose Monos for the most balanced carry-on recommendation, especially if airline fit and purchase confidence matter most. [Monos]
Choose Travelpro if durability, corner protection, smooth handling, and premium mobility features matter most. [Travelpro]
Choose BÉIS if packing organization and expandable capacity are your top priorities and you are comfortable checking airline size and weight rules before travel. [BEIS]
Choose Delsey if you want a suitcase explicitly positioned for 3-5 days with secure zipper protection and elegant organization, but note that the provided page does not give the same overhead-bin fit reassurance as Monos or Travelpro. [Delsey]
Choose INUSA if light weight, TSA-approved locking, a 10-year warranty after registration, and a lower listed sale price are the most appealing factors, while accepting that the provided page gives less return or trial information than Monos or Travelpro. [INUSA]"
baseline_curr/baseline_6_curr.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\baseline_curr\baseline_6_curr.txt,baseline_all_current_2026,,03_2026_current_vs_2023_2024_geo_rewrite,6,6,False,6,"I would recommend the Delsey CHATELET AIR 2.0 Carry-On Plus Spinner for a stylish overpacker taking a 3-5 day trip, because the page specifically says it is perfect for “stylish overpackers who like a little extra room,” lists a 3-5 day trip length, and still markets it as a Carry-On Plus Spinner. [Delsey]
The key travel-size limitation is that its listed exterior size is 22.75 in. H x 15 in. W x 10 in. D, with 47.75 linear dimensions, and the page does not provide airline-specific sizer-bin reassurance. [Delsey]
If you want even more listed capacity while staying in a carry-on category, the BEIS Carry-On Roller offers 49-61 L and 2 in. of expandable space, but its page recommends checking airline guidelines and weight-limit restrictions. [BEIS]",6,10,6-10,"Choose Delsey if you are a style-first overpacker who wants a 3-5 day Carry-On Plus option and can work within its listed 22.75 in. x 15 in. x 10 in. exterior dimensions. [Delsey]
Choose Travelpro if you want the strongest all-around mix of protection, airport handling, business-ready tech features, wet-item and tracking storage, and warranty or return reassurance. [Travelpro]
Choose INUSA if low price and low weight matter most and you are comfortable with a smaller 37.72 L capacity and fewer premium features. [INUSA]
Choose Monos if you want a lighter premium carry-on with a strong shell, quiet wheels, thoughtful interior organization, and broad overhead-bin fit language. [Monos]
Choose BEIS if your priority is maximum listed carry-on capacity, expandable packing, a weight indicator, and extensive interior pouches, while keeping airline guideline checks in mind. [BEIS]"
baseline_curr/baseline_6_curr.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\baseline_curr\baseline_6_curr.txt,baseline_all_current_2026,,03_2026_current_vs_2023_2024_geo_rewrite,6,7,False,7,"The Travelpro Platinum Elite Carry-On Hardside Spinner seems best overall for strong protection, smooth airport handling, and warranty or return reassurance. [Travelpro]
It combines a 100% polycarbonate hard shell, aluminum corner guards, a textured finish that helps reduce visible scuffs or scratching, and a built-in TSA lock. [Travelpro]
For handling, it has the PrecisionGlide System with a Contour Grip, PowerScope Lite Handle, and MagnaTrac self-aligning magnetic spinner wheels for precise control and effortless rolling. [Travelpro]
Its reassurance is especially strong because the page lists a Limited Worry Free Warranty, a Trusted Companion Promise with five years of extra benefits after registration, airline or common-carrier damage repair coverage during that period, and a 100-day trial with return shipping paid. [Travelpro]
If the “traditional brand” requirement must be supported by explicit brand-history wording on the page, Delsey is the clearest alternative because its page says DELSEY PARIS has been committed to customers since 1946, and it also offers SECURITECH zip protection, corner protection, dual-density wheels, a 10-year limited worldwide warranty, and a 30-day return policy. [Delsey]",6,10,6-10,"Choose Delsey if you are a style-first overpacker who wants a 3-5 day Carry-On Plus option and can work within its listed 22.75 in. x 15 in. x 10 in. exterior dimensions. [Delsey]
Choose Travelpro if you want the strongest all-around mix of protection, airport handling, business-ready tech features, wet-item and tracking storage, and warranty or return reassurance. [Travelpro]
Choose INUSA if low price and low weight matter most and you are comfortable with a smaller 37.72 L capacity and fewer premium features. [INUSA]
Choose Monos if you want a lighter premium carry-on with a strong shell, quiet wheels, thoughtful interior organization, and broad overhead-bin fit language. [Monos]
Choose BEIS if your priority is maximum listed carry-on capacity, expandable packing, a weight indicator, and extensive interior pouches, while keeping airline guideline checks in mind. [BEIS]"
baseline_curr/baseline_6_curr.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\baseline_curr\baseline_6_curr.txt,baseline_all_current_2026,,03_2026_current_vs_2023_2024_geo_rewrite,6,8,False,8,"The INUSA Ally Carry On 20 in. seems best for the lightest and most budget-conscious hard-shell carry-on that still has spinner mobility, a security lock, and basic organization. [INUSA]
It is listed at a sale price of $116.99, weighs 5.9 lbs, uses lightweight PC/ABS-engineered hard-flex material, has a 360° Multiwheel System, includes a Travel Sentry Approved lock, and has dual interior organization with a fully zipped compartment, large mesh storage, and height-adjustable Flex straps. [INUSA]
What you may give up versus higher-priced options is capacity and premium features: INUSA lists 37.72 L, while Monos lists 39.9 L, Delsey lists 44 L, Travelpro lists 46 L, and BEIS lists 49-61 L. [INUSA] [Monos] [Delsey] [Travelpro] [BEIS]
You also give up features that other pages highlight, such as Travelpro’s USB-A and USB-C ports, water-resistant pocket, aluminum corner guards, and tracking-device sleeve; Delsey’s SECURITECH zipper and USB port; Monos’s aerospace-grade polycarbonate shell, removable compression pad, and included laundry and shoe bags; and BEIS’s built-in weight indicator, compression flap, and multiple specialty pouches. [Travelpro] [Delsey] [Monos] [BEIS]",6,10,6-10,"Choose Delsey if you are a style-first overpacker who wants a 3-5 day Carry-On Plus option and can work within its listed 22.75 in. x 15 in. x 10 in. exterior dimensions. [Delsey]
Choose Travelpro if you want the strongest all-around mix of protection, airport handling, business-ready tech features, wet-item and tracking storage, and warranty or return reassurance. [Travelpro]
Choose INUSA if low price and low weight matter most and you are comfortable with a smaller 37.72 L capacity and fewer premium features. [INUSA]
Choose Monos if you want a lighter premium carry-on with a strong shell, quiet wheels, thoughtful interior organization, and broad overhead-bin fit language. [Monos]
Choose BEIS if your priority is maximum listed carry-on capacity, expandable packing, a weight indicator, and extensive interior pouches, while keeping airline guideline checks in mind. [BEIS]"
baseline_curr/baseline_6_curr.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\baseline_curr\baseline_6_curr.txt,baseline_all_current_2026,,03_2026_current_vs_2023_2024_geo_rewrite,6,9,False,9,"Travelpro stands out for rough-handling protection because it uses an ultra-strong 100% polycarbonate shell, aluminum corner guards, a textured finish meant to reduce visible scuffs or scratching, a built-in TSA lock, and warranty language that includes airline or common-carrier damage repair benefits for the first five years after registration. [Travelpro]
Delsey stands out for zipper security because it highlights a patented SECURITECH zip that is described as ultra-secure and resistant to intrusion, along with corner protection, a TSA-accepted lock, and a 100% polycarbonate shell. [Delsey]
Monos stands out for shell and component quality because it describes an aerospace-grade, water-resistant polycarbonate shell made from partially recycled materials, says the shell is dent-resistant, impact-friendly, and virtually unbreakable, and includes a TSA-accepted lock plus colour-coordinated YKK reverse coil zippers. [Monos]
INUSA is the budget protection pick because it has an impact-resistant design, a PC/ABS hard-flex shell with a micro diamond water- and scratch-resistant finish, smooth gliding oversized zippers, and a Travel Sentry Approved lock that allows inspection and relocking without damage. [INUSA]
BEIS has a durable hard-shell exterior, TSA lock, stain-resistant feature, and 360° wheels, but its page gives fewer specific protection details than Travelpro, Delsey, Monos, or INUSA. [BEIS]",6,10,6-10,"Choose Delsey if you are a style-first overpacker who wants a 3-5 day Carry-On Plus option and can work within its listed 22.75 in. x 15 in. x 10 in. exterior dimensions. [Delsey]
Choose Travelpro if you want the strongest all-around mix of protection, airport handling, business-ready tech features, wet-item and tracking storage, and warranty or return reassurance. [Travelpro]
Choose INUSA if low price and low weight matter most and you are comfortable with a smaller 37.72 L capacity and fewer premium features. [INUSA]
Choose Monos if you want a lighter premium carry-on with a strong shell, quiet wheels, thoughtful interior organization, and broad overhead-bin fit language. [Monos]
Choose BEIS if your priority is maximum listed carry-on capacity, expandable packing, a weight indicator, and extensive interior pouches, while keeping airline guideline checks in mind. [BEIS]"
baseline_curr/baseline_6_curr.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\baseline_curr\baseline_6_curr.txt,baseline_all_current_2026,,03_2026_current_vs_2023_2024_geo_rewrite,6,10,False,10,"Travelpro seems most useful for business or tech-heavy travel. [Travelpro]
It has external USB-A and USB-C ports, a dedicated power-bank pocket hidden inside the expansion feature for easy access and FAA compliance, and fast-charge output details for phone charging, though the power bank is not included. [Travelpro]
It also includes an interior water-resistant pocket for damp items or toiletries, interior zippered divider panels, removable shoe bags, and a hidden sleeve for a tracking device. [Travelpro]
For mobility, it uses the PrecisionGlide System with self-aligning MagnaTrac spinner wheels, a multi-stop PowerScope Lite handle, and a rubberized Contour Grip for smooth, responsive handling through terminals. [Travelpro]
Delsey also lists a USB port, removable pouch, intelligent compartments, dedicated pockets, and dual-density wheels, but the product page provides less electronics-access detail than Travelpro. [Delsey] [Travelpro]",6,10,6-10,"Choose Delsey if you are a style-first overpacker who wants a 3-5 day Carry-On Plus option and can work within its listed 22.75 in. x 15 in. x 10 in. exterior dimensions. [Delsey]
Choose Travelpro if you want the strongest all-around mix of protection, airport handling, business-ready tech features, wet-item and tracking storage, and warranty or return reassurance. [Travelpro]
Choose INUSA if low price and low weight matter most and you are comfortable with a smaller 37.72 L capacity and fewer premium features. [INUSA]
Choose Monos if you want a lighter premium carry-on with a strong shell, quiet wheels, thoughtful interior organization, and broad overhead-bin fit language. [Monos]
Choose BEIS if your priority is maximum listed carry-on capacity, expandable packing, a weight indicator, and extensive interior pouches, while keeping airline guideline checks in mind. [BEIS]"
