file_role,path,filename,detected_product,prompt_start_from_filename,included,reason
baseline_current_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\baseline_curr\baseline_1.txt,baseline_1.txt,,1,True,all-current 2026 baseline answer file from baseline_*_curr chunk
baseline_current_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\baseline_curr\baseline_6.txt,baseline_6.txt,,6,True,all-current 2026 baseline answer file from baseline_*_curr chunk
baseline_current_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\baseline_curr\baseline_11.txt,baseline_11.txt,,11,True,all-current 2026 baseline answer file from baseline_*_curr chunk
baseline_current_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\baseline_curr\baseline_16.txt,baseline_16.txt,,16,True,all-current 2026 baseline answer file from baseline_*_curr chunk
comparison03_geo_rewrite_replacement_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\away_1.txt,away_1.txt,Away,1,True,one-product GEO rewrite replacement file against all-current context
comparison03_geo_rewrite_replacement_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\away_11.txt,away_11.txt,Away,11,True,one-product GEO rewrite replacement file against all-current context
comparison03_geo_rewrite_replacement_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\away_16.txt,away_16.txt,Away,16,True,one-product GEO rewrite replacement file against all-current context
comparison03_geo_rewrite_replacement_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\away_6.txt,away_6.txt,Away,6,True,one-product GEO rewrite replacement file against all-current context
comparison03_geo_rewrite_replacement_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\br_1.txt,br_1.txt,BR,1,True,one-product GEO rewrite replacement file against all-current context
comparison03_geo_rewrite_replacement_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\br_11.txt,br_11.txt,BR,11,True,one-product GEO rewrite replacement file against all-current context
comparison03_geo_rewrite_replacement_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\br_16.txt,br_16.txt,BR,16,True,one-product GEO rewrite replacement file against all-current context
comparison03_geo_rewrite_replacement_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\br_6.txt,br_6.txt,BR,6,True,one-product GEO rewrite replacement file against all-current context
comparison03_geo_rewrite_replacement_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\century_1.txt,century_1.txt,Century,1,True,one-product GEO rewrite replacement file against all-current context
comparison03_geo_rewrite_replacement_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\century_11.txt,century_11.txt,Century,11,True,one-product GEO rewrite replacement file against all-current context
comparison03_geo_rewrite_replacement_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\century_16.txt,century_16.txt,Century,16,True,one-product GEO rewrite replacement file against all-current context
comparison03_geo_rewrite_replacement_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\century_6.txt,century_6.txt,Century,6,True,one-product GEO rewrite replacement file against all-current context
comparison03_geo_rewrite_replacement_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\july_1.txt,july_1.txt,July,1,True,one-product GEO rewrite replacement file against all-current context
comparison03_geo_rewrite_replacement_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\july_11.txt,july_11.txt,July,11,True,one-product GEO rewrite replacement file against all-current context
comparison03_geo_rewrite_replacement_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\july_16.txt,july_16.txt,July,16,True,one-product GEO rewrite replacement file against all-current context
comparison03_geo_rewrite_replacement_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\july_6.txt,july_6.txt,July,6,True,one-product GEO rewrite replacement file against all-current context
comparison03_geo_rewrite_replacement_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\rimowa_11.txt,rimowa_11.txt,Rimowa,11,True,one-product GEO rewrite replacement file against all-current context
comparison03_geo_rewrite_replacement_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\rimowa_16.txt,rimowa_16.txt,Rimowa,16,True,one-product GEO rewrite replacement file against all-current context
comparison03_geo_rewrite_replacement_included,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\rimowa_6.txt,rimowa_6.txt,Rimowa,6,True,one-product GEO rewrite replacement file against all-current context
comparison03_ignored,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\03_2026_current_vs_2023_2024_geo_rewrite\riwoma_1.txt,riwoma_1.txt,Unknown,1,False,not recognized as one-product GEO replacement file
