comparison,mode,source_file_current,source_path,run_type,focal_current_product,version_status_for_product,prompt_set_start,prompt_set_end,prompt_set_label_current,question_id,product,cited_current,ref_count_current,first_citation_index,first_citation_score_current,recommendation_rank_proxy_current,rank_score_proxy_current,top1_cited_flag_current,feature_categories,feature_count_current,feature_coverage_current,tfidf_product_answer_similarity_current,bigram_overlap_product_answer_current,pais_product_answer_influence_score_current,answer_word_count,citation_sequence,cited_answer_sentences,cited_baseline,ref_count_baseline,first_citation_score_baseline,recommendation_rank_proxy_baseline,rank_score_proxy_baseline,top1_cited_flag_baseline,feature_count_baseline,feature_coverage_baseline,tfidf_product_answer_similarity_baseline,bigram_overlap_product_answer_baseline,pais_product_answer_influence_score_baseline,source_file_baseline,prompt_set_label_baseline,baseline_match_found,delta_cited,delta_ref_count,delta_first_citation_score,delta_recommendation_rank_proxy,delta_rank_score_proxy,delta_top1_cited_flag,delta_feature_count,delta_feature_coverage,delta_tfidf_product_answer_similarity,delta_bigram_overlap_product_answer,delta_pais_product_answer_influence_score,delta_citation_rate,delta_mean_ref_count,rank_improvement_current_minus_baseline,delta_top1_cited_share,delta_pais
01_2023_2024_original_vs_2026_current,one_product_current,beis_2023vs2026_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\01_2023_2024_original_vs_2026_current\beis_2023vs2026_1.txt,one_product_current,BEIS,current_2026,1,5,1-5,1,BEIS,1,1,4.0,0.25,3,0.6,0,,0,0.0,0.0,0.0,0.13333333333333333,182,Delsey > Delsey > Travelpro > BEIS,[BEIS],0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline_1.txt,1-5,True,1.0,1.0,0.25,-3.0,0.6,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,1.0,1.0,3.0,0.0,0.13333333333333333
01_2023_2024_original_vs_2026_current,one_product_current,beis_2023vs2026_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\01_2023_2024_original_vs_2026_current\beis_2023vs2026_1.txt,one_product_current,BEIS,current_2026,1,5,1-5,2,BEIS,0,0,,0.0,6,0.0,0,,0,0.0,0.0,0.0,0.0,183,Travelpro > Travelpro > Delsey > Delsey > Monos,,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline_1.txt,1-5,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_2023_2024_original_vs_2026_current,one_product_current,beis_2023vs2026_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\01_2023_2024_original_vs_2026_current\beis_2023vs2026_1.txt,one_product_current,BEIS,current_2026,1,5,1-5,3,BEIS,1,1,4.0,0.25,4,0.4,0,,0,0.0,0.0,0.0,0.13333333333333333,153,Travelpro > Delsey > INUSA > BEIS > Monos,[BEIS] [Monos],1.0,1.0,0.3333333333333333,2.0,0.8,0.0,1.0,0.05263157894736842,0.025385755882622714,0.047619047619047616,0.17274632410885538,baseline_1.txt,1-5,True,0.0,0.0,-0.08333333333333331,2.0,-0.4,0.0,-1.0,-0.05263157894736842,-0.025385755882622714,-0.047619047619047616,-0.039412990775522044,0.0,0.0,-2.0,0.0,-0.039412990775522044
01_2023_2024_original_vs_2026_current,one_product_current,beis_2023vs2026_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\01_2023_2024_original_vs_2026_current\beis_2023vs2026_1.txt,one_product_current,BEIS,current_2026,1,5,1-5,4,BEIS,1,2,1.0,1.0,1,1.0,1,lock_security;packing_organization,2,0.10526315789473684,0.09153773104409584,0.18518518518518517,0.43380462223221106,183,BEIS > BEIS > Delsey > Monos > Travelpro > INUSA,"[BEIS] It also has a detachable compression flap with a U-zip pocket, mesh backing, and four-point compression straps, which should help keep clothes organized and compressed. [BEIS] Delsey is a strong runner-up because it has dual compartments, compression cross straps, a zippered divider, mesh zippered pockets, and included laundry and shoe bags.",1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.05263157894736842,0.036164690250800276,0.07407407407407407,0.39553703161741155,baseline_1.txt,1-5,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05263157894736842,0.05537304079329556,0.1111111111111111,0.03826759061479951,0.0,0.0,0.0,0.0,0.03826759061479951
01_2023_2024_original_vs_2026_current,one_product_current,beis_2023vs2026_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\01_2023_2024_original_vs_2026_current\beis_2023vs2026_1.txt,one_product_current,BEIS,current_2026,1,5,1-5,5,BEIS,1,1,6.0,0.16666666666666666,4,0.4,0,lock_security;tradeoff_or_limitation;warranty_trial_return,3,0.15789473684210525,0.031365277117477185,0.07692307692307693,0.16605713099704472,305,Travelpro > Travelpro > Monos > Monos > Delsey > BEIS > INUSA,"[BEIS] INUSA has a TSA-approved lock and is described as suitable for most major airlines, but the provided page does not include warranty or trial information.",0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline_1.txt,1-5,True,1.0,1.0,0.16666666666666666,-2.0,0.4,0.0,3.0,0.15789473684210525,0.031365277117477185,0.07692307692307693,0.16605713099704472,1.0,1.0,2.0,0.0,0.16605713099704472
01_2023_2024_original_vs_2026_current,one_product_current,beis_2023vs2026_11.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\01_2023_2024_original_vs_2026_current\beis_2023vs2026_11.txt,one_product_current,BEIS,current_2026,11,15,11-15,11,BEIS,1,1,6.0,0.16666666666666666,4,0.4,0,dimensions,1,0.05263157894736842,0.0,0.0,0.12719298245614036,326,Monos > Travelpro > Travelpro > Delsey > Delsey > BEIS > INUSA > INUSA,[BEIS] INUSA has possible size limitations because its listed 20-inch size is 13.78 in.,1.0,1.0,0.16666666666666666,4.0,0.4,0.0,4.0,0.21052631578947367,0.02852222694084218,0.024390243902439025,0.1681349117980957,baseline_11.txt,11-15,True,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-0.15789473684210525,-0.02852222694084218,-0.024390243902439025,-0.04094192934195534,0.0,0.0,0.0,0.0,-0.04094192934195534
01_2023_2024_original_vs_2026_current,one_product_current,beis_2023vs2026_11.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\01_2023_2024_original_vs_2026_current\beis_2023vs2026_11.txt,one_product_current,BEIS,current_2026,11,15,11-15,12,BEIS,1,1,3.0,0.3333333333333333,2,0.8,0,cleaning_care;durability_protection,2,0.10526315789473684,0.014020396993339875,0.0,0.17385671097761535,196,Travelpro > Travelpro > BEIS > INUSA > Delsey > Monos,"[BEIS] INUSA mentions a micro-diamond finish with water- and scratch-resistant qualities, along with hard-flex construction for strength and durability.",1.0,2.0,0.25,3.0,0.6,0.0,4.0,0.21052631578947367,0.009303797297058937,0.0,0.2606326892839732,baseline_11.txt,11-15,True,0.0,-1.0,0.08333333333333331,-1.0,0.20000000000000007,0.0,-2.0,-0.10526315789473684,0.0047165996962809376,0.0,-0.08677597830635786,0.0,-1.0,1.0,0.0,-0.08677597830635786
01_2023_2024_original_vs_2026_current,one_product_current,beis_2023vs2026_11.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\01_2023_2024_original_vs_2026_current\beis_2023vs2026_11.txt,one_product_current,BEIS,current_2026,11,15,11-15,13,BEIS,1,2,4.0,0.25,3,0.6,0,comparison_ready_evidence;durability_protection;sustainability;tradeoff_or_limitation,4,0.21052631578947367,0.02035990005318498,0.04838709677419355,0.2701019743513275,202,Delsey > Delsey > Monos > BEIS > Monos > BEIS > Travelpro > INUSA,"[BEIS] The sustainability evidence for Monos and BEIS is weaker than Delsey because vegan leather trim or details are narrow material claims and the provided text does not give recycled content, sourcing details, certifications, or environmental impact information. [Monos] [BEIS] Travelpro and INUSA do not provide concrete sustainability-related information in the provided product-page text, though both describe durability-related materials or construction.",1.0,2.0,0.3333333333333333,2.0,0.8,0.0,6.0,0.3157894736842105,0.03444126149430255,0.0392156862745098,0.30926183331021245,baseline_11.txt,11-15,True,0.0,0.0,-0.08333333333333331,1.0,-0.20000000000000007,0.0,-2.0,-0.10526315789473684,-0.01408136144111757,0.009171410499683744,-0.03915985895888496,0.0,0.0,-1.0,0.0,-0.03915985895888496
01_2023_2024_original_vs_2026_current,one_product_current,beis_2023vs2026_11.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\01_2023_2024_original_vs_2026_current\beis_2023vs2026_11.txt,one_product_current,BEIS,current_2026,11,15,11-15,14,BEIS,1,1,1.0,1.0,1,1.0,1,electronics_convenience;packing_organization,2,0.10526315789473684,0.009086398467130573,0.0,0.3062032446057068,215,BEIS > Travelpro > Delsey > Monos > INUSA,"[BEIS] Travelpro is the best convenience pick if phone charging is the priority because it includes external USB-A and USB-C fast-charge ports plus a dedicated external-access battery pocket for FAA-compliant power-bank storage, although the power bank is not included.",1.0,2.0,0.5,2.0,0.8,0.0,4.0,0.21052631578947367,0.037148896444689924,0.05,0.32370170911349944,baseline_11.txt,11-15,True,0.0,-1.0,0.5,-1.0,0.19999999999999996,1.0,-2.0,-0.10526315789473684,-0.02806249797755935,-0.05,-0.017498464507792633,0.0,-1.0,1.0,1.0,-0.017498464507792633
01_2023_2024_original_vs_2026_current,one_product_current,beis_2023vs2026_11.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\01_2023_2024_original_vs_2026_current\beis_2023vs2026_11.txt,one_product_current,BEIS,current_2026,11,15,11-15,15,BEIS,1,2,3.0,0.3333333333333333,3,0.6,0,capacity_volume;dimensions;lock_security;overhead_bin_or_airline_fit;sustainability;tradeoff_or_limitation;warranty_trial_return;weight;wheels_mobility,9,0.47368421052631576,0.05329829279232682,0.0,0.33872983399706186,271,Travelpro > Delsey > BEIS > INUSA > Monos > Travelpro > BEIS > Delsey > INUSA > Monos,"[BEIS]

INUSA provides useful basics such as material, weight, dimensions, wheel-exclusion guidance, lock, handles, zippers, and airline suitability language, but shoppers should double-check the true overall dimensions with wheels, warranty and return terms, capacity, and exact airline fit. [Travelpro] [BEIS] [Delsey] [INUSA] [Monos]",1.0,2.0,0.5,2.0,0.8,0.0,11.0,0.5789473684210527,0.05858436208484114,0.038461538461538464,0.3999422435370762,baseline_11.txt,11-15,True,0.0,0.0,-0.16666666666666669,1.0,-0.20000000000000007,0.0,-2.0,-0.10526315789473689,-0.005286069292514323,-0.038461538461538464,-0.061212409540014334,0.0,0.0,-1.0,0.0,-0.061212409540014334
