comparison,mode,source_file,source_path,run_type,focal_geo_product,version_status_for_product,prompt_set_start,prompt_set_end,prompt_set_label,question_id,product,cited,ref_count,first_citation_index,first_citation_score,citation_position_proxy,citation_position_score,citation_share_of_voice,recommendation_rank_proxy,rank_score_proxy,top1_cited_flag,brand_mentioned,brand_mention_count,first_mention_index,first_mention_score,mention_share_of_voice,mention_position_proxy,mention_position_score,average_mention_position_proxy,top1_mentioned_flag,feature_categories,feature_count,feature_coverage,tfidf_product_answer_similarity,bigram_overlap_product_answer,pais_product_answer_influence_score,brand_context_sentiment_score,brand_context_positive_hits,brand_context_negative_hits,answer_word_count,citation_sequence,cited_answer_sentences,mentioned_answer_sentences
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,beis_2023_2024vsGEO_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\beis_2023_2024vsGEO_1.txt,one_product_geo_rewrite,BEIS,original_2023_2024,1,5,1-5,1,Monos,0,0,,0.0,6,0.0,0.0,6,0.0,0,0,0,,0.0,0.0,6,0.0,6,0,,0,0.0,0.0,0.0,0.0,0.0,0,0,133,Delsey > BEIS > Travelpro,,
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,beis_2023_2024vsGEO_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\beis_2023_2024vsGEO_1.txt,one_product_geo_rewrite,BEIS,geo_rewrite_2023_2024,1,5,1-5,1,BEIS,1,1,2.0,0.5,2,0.8,0.3333333333333333,2,0.8,0,1,1,3.0,0.3333333333333333,0.25,2,0.8,2,0,capacity_volume;dimensions;expansion;overhead_bin_or_airline_fit;tradeoff_or_limitation,5,0.2631578947368421,0.0339340866206099,0.030303030303030304,0.2472971841502783,0.0,2,2,133,Delsey > BEIS > Travelpro,"[BEIS] The Travelpro is another strong short-trip option because it has 45 L volume and a 2-inch expansion, but its page says a fully expanded Carry-On may not meet airline restrictions.","I’d also consider the BÉIS Carry-On Roller if you tend to pack extra or bring things home, because it has 49-61 L capacity, expands an extra two inches, and includes compression plus separate pouches for dirty clothes, shoes, undergarments, and damp clothing."
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,beis_2023_2024vsGEO_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\beis_2023_2024vsGEO_1.txt,one_product_geo_rewrite,BEIS,original_2023_2024,1,5,1-5,1,Travelpro,1,1,3.0,0.3333333333333333,3,0.6,0.3333333333333333,3,0.6,0,1,1,4.0,0.25,0.25,3,0.6,3,0,,0,0.0,0.05071619975021293,0.0,0.1601432399500426,-0.3333333333333333,1,2,133,Delsey > BEIS > Travelpro,[Travelpro],"The Travelpro is another strong short-trip option because it has 45 L volume and a 2-inch expansion, but its page says a fully expanded Carry-On may not meet airline restrictions."
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,beis_2023_2024vsGEO_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\beis_2023_2024vsGEO_1.txt,one_product_geo_rewrite,BEIS,original_2023_2024,1,5,1-5,1,Delsey,1,1,1.0,1.0,1,1.0,0.3333333333333333,1,1.0,1,1,2,1.0,1.0,0.5,1,1.0,1,1,capacity_volume;dimensions;overhead_bin_or_airline_fit;packing_organization,4,0.21052631578947367,0.04437873805142352,0.022727272727272728,0.3377234350106037,1.0,4,0,133,Delsey > BEIS > Travelpro,"[Delsey] I’d also consider the BÉIS Carry-On Roller if you tend to pack extra or bring things home, because it has 49-61 L capacity, expands an extra two inches, and includes compression plus separate pouches for dirty clothes, shoes, undergarments, and damp clothing.","For a 3-5 day trip, I’d recommend the Delsey CHATELET AIR 2.0 Carry-On Plus if you want the most directly matched trip-length guidance, because its page says the Carry-On Plus is ideal for 3-5 day trips and fits 5-7 outfits, with 44 L volume."
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,beis_2023_2024vsGEO_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\beis_2023_2024vsGEO_1.txt,one_product_geo_rewrite,BEIS,original_2023_2024,1,5,1-5,1,INUSA,0,0,,0.0,6,0.0,0.0,6,0.0,0,0,0,,0.0,0.0,6,0.0,6,0,,0,0.0,0.0,0.0,0.0,0.0,0,0,133,Delsey > BEIS > Travelpro,,
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,beis_2023_2024vsGEO_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\beis_2023_2024vsGEO_1.txt,one_product_geo_rewrite,BEIS,original_2023_2024,1,5,1-5,2,Monos,1,1,4.0,0.25,4,0.4,0.25,3,0.6,0,1,1,4.0,0.25,0.25,3,0.6,3,0,,0,0.0,0.06461418576726963,0.0,0.14625617048678727,1.0,2,0,127,Travelpro > Travelpro > Delsey > Monos,[Monos],"Monos also looks strong, but the provided text gives fewer impact-protection specifics beyond its unbreakable/aerospace-grade polycarbonate shell and TSA-approved lock."
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,beis_2023_2024vsGEO_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\beis_2023_2024vsGEO_1.txt,one_product_geo_rewrite,BEIS,geo_rewrite_2023_2024,1,5,1-5,2,BEIS,0,0,,0.0,6,0.0,0.0,6,0.0,0,0,0,,0.0,0.0,6,0.0,6,0,,0,0.0,0.0,0.0,0.0,0.0,0,0,127,Travelpro > Travelpro > Delsey > Monos,,
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,beis_2023_2024vsGEO_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\beis_2023_2024vsGEO_1.txt,one_product_geo_rewrite,BEIS,original_2023_2024,1,5,1-5,2,Travelpro,1,2,1.0,1.0,1,1.0,0.5,1,1.0,1,1,2,1.0,1.0,0.5,1,1.0,1,1,durability_protection;lock_security,2,0.10526315789473684,0.05081571214243416,0.12244897959183673,0.4162497876128764,1.0,4,0,127,Travelpro > Travelpro > Delsey > Monos,"[Travelpro] It also has a built-in TSA-approved lock for secure inspection access. [Travelpro] Delsey is the closest runner-up for security-focused protection because it has corner protectors, an integrated TSA-accepted lock, and a patented SECURITECH zipper described as three times more resistant than a standard zipper.","The Travelpro Platinum Elite seems best for durability and protecting belongings overall because its page describes an ultra-strong 100% polycarbonate shell that flexes upon impact to prevent cracking and keep contents protected, plus aluminum corner armor for high-impact areas and a textured finish that helps reduce scuffs or scratching."
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,beis_2023_2024vsGEO_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\beis_2023_2024vsGEO_1.txt,one_product_geo_rewrite,BEIS,original_2023_2024,1,5,1-5,2,Delsey,1,1,3.0,0.3333333333333333,3,0.6,0.25,2,0.8,0,1,1,3.0,0.3333333333333333,0.25,2,0.8,2,0,durability_protection;lock_security;material_shell;tradeoff_or_limitation,4,0.21052631578947367,0.038931279281786614,0.041666666666666664,0.20614151901425204,1.0,3,0,127,Travelpro > Travelpro > Delsey > Monos,"[Delsey] Monos also looks strong, but the provided text gives fewer impact-protection specifics beyond its unbreakable/aerospace-grade polycarbonate shell and TSA-approved lock.","Delsey is the closest runner-up for security-focused protection because it has corner protectors, an integrated TSA-accepted lock, and a patented SECURITECH zipper described as three times more resistant than a standard zipper."
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,beis_2023_2024vsGEO_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\beis_2023_2024vsGEO_1.txt,one_product_geo_rewrite,BEIS,original_2023_2024,1,5,1-5,2,INUSA,0,0,,0.0,6,0.0,0.0,6,0.0,0,0,0,,0.0,0.0,6,0.0,6,0,,0,0.0,0.0,0.0,0.0,0.0,0,0,127,Travelpro > Travelpro > Delsey > Monos,,
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,beis_2023_2024vsGEO_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\beis_2023_2024vsGEO_1.txt,one_product_geo_rewrite,BEIS,original_2023_2024,1,5,1-5,3,Monos,0,0,,0.0,6,0.0,0.0,6,0.0,0,0,0,,0.0,0.0,6,0.0,6,0,,0,0.0,0.0,0.0,0.0,0.0,0,0,116,Travelpro > BEIS > Delsey > INUSA,,
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,beis_2023_2024vsGEO_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\beis_2023_2024vsGEO_1.txt,one_product_geo_rewrite,BEIS,geo_rewrite_2023_2024,1,5,1-5,3,BEIS,1,1,2.0,0.5,2,0.8,0.25,2,0.8,0,1,1,2.0,0.5,0.2,2,0.8,2,0,comparison_ready_evidence;handle;tradeoff_or_limitation;wheels_mobility,4,0.21052631578947367,0.04908947565592517,0.03225806451612903,0.24009520129983247,0.0,1,1,116,Travelpro > BEIS > Delsey > INUSA,"[BEIS] Delsey and INUSA also offer 360-degree or multi-directional spinner wheels, but their pages provide less detail about control features than Travelpro’s self-aligning wheel and adjustable-handle system.","BÉIS may be especially appealing if you want comfort and easy movement beyond the terminal, because its page specifically says the 360-degree wheels help it glide through terminals, streets, and hallways, and its cushioned trolley handle is meant to reduce hand strain."
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,beis_2023_2024vsGEO_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\beis_2023_2024vsGEO_1.txt,one_product_geo_rewrite,BEIS,original_2023_2024,1,5,1-5,3,Travelpro,1,1,1.0,1.0,1,1.0,0.25,1,1.0,1,1,2,1.0,1.0,0.4,1,1.0,1,1,handle;wheels_mobility,2,0.10526315789473684,0.02823018524304643,0.023809523809523808,0.31360343053231854,0.5,3,1,116,Travelpro > BEIS > Delsey > INUSA,"[Travelpro] BÉIS may be especially appealing if you want comfort and easy movement beyond the terminal, because its page specifically says the 360-degree wheels help it glide through terminals, streets, and hallways, and its cushioned trolley handle is meant to reduce hand strain.","The Travelpro looks easiest to control through crowded airport spaces because its PrecisionGlide System combines eight MagnaTrac self-aligning spinner wheels with a four-stop adjustable PowerScope Lite handle and Contour Grip for precise control and effortless roll. Delsey and INUSA also offer 360-degree or multi-directional spinner wheels, but their pages provide less detail about control features than Travelpro’s self-aligning wheel and adjustable-handle system."
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,beis_2023_2024vsGEO_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\beis_2023_2024vsGEO_1.txt,one_product_geo_rewrite,BEIS,original_2023_2024,1,5,1-5,3,Delsey,1,1,3.0,0.3333333333333333,3,0.6,0.25,3,0.6,0,1,1,3.0,0.3333333333333333,0.2,3,0.6,3,0,,0,0.0,0.041692950578616925,0.0,0.15833859011572338,-1.0,0,1,116,Travelpro > BEIS > Delsey > INUSA,[Delsey] [INUSA],"Delsey and INUSA also offer 360-degree or multi-directional spinner wheels, but their pages provide less detail about control features than Travelpro’s self-aligning wheel and adjustable-handle system."
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,beis_2023_2024vsGEO_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\beis_2023_2024vsGEO_1.txt,one_product_geo_rewrite,BEIS,original_2023_2024,1,5,1-5,3,INUSA,1,1,4.0,0.25,4,0.4,0.25,4,0.4,0,1,1,4.0,0.25,0.2,4,0.4,4,0,,0,0.0,0.027701571482725576,0.0,0.13887364762987844,-1.0,0,1,116,Travelpro > BEIS > Delsey > INUSA,[Delsey] [INUSA],"Delsey and INUSA also offer 360-degree or multi-directional spinner wheels, but their pages provide less detail about control features than Travelpro’s self-aligning wheel and adjustable-handle system."
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,beis_2023_2024vsGEO_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\beis_2023_2024vsGEO_1.txt,one_product_geo_rewrite,BEIS,original_2023_2024,1,5,1-5,4,Monos,1,1,3.0,0.3333333333333333,3,0.6,0.25,3,0.6,0,1,1,3.0,0.3333333333333333,0.25,3,0.6,3,0,comparison_ready_evidence;packing_organization;tradeoff_or_limitation,3,0.15789473684210525,0.02052445110932629,0.0,0.1856838375902863,-1.0,0,1,134,BEIS > Delsey > Monos > INUSA,"[Monos] The provided INUSA text only mentions tie-down straps and ample storage space, so it does not provide enough detail to rank it highly for compartments or specialty organization.","Monos also has thoughtful interior organization, including a zipped panel for shoes and other items, a compression pad, ballistic nylon straps, and generously sized pockets."
